arm,age_group,alpha,mse,n_utterances,n_pairs,n_unique_subjects,n_unique_verbs,status,scope,collection,annotation_scheme
ud_chat,overall,1.4999999999999991,4.020316487294472e-07,2728212,1303637,7272,3027,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,0-12mo,1.479999999999999,1.0050998899789696e-06,69941,24486,618,589,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,12-24mo,1.489999999999999,2.983464503863198e-07,356114,130622,1913,1134,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,24-36mo,1.4999999999999991,4.200572576624893e-07,1226011,583031,4460,2048,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,36-48mo,1.4199999999999997,1.1161518445645483e-06,555676,289193,3445,1654,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,48-60mo,1.4299999999999995,1.7936969769939691e-06,358251,193492,2971,1649,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,60-72mo,1.3699999999999994,2.0546263494744087e-06,91419,47695,1113,762,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,72-84mo,1.3299999999999994,1.04239986048138e-06,31229,15968,557,473,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,84-96mo,1.3599999999999994,1.9352753613457222e-06,39571,19150,647,586,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,Existing Universal Dependencies annotations in selected CHAT transcripts
spacy_chat,overall,1.479999999999999,3.394328987603313e-07,2728212,1886034,9186,3357,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of selected CHAT surface text
spacy_chat,0-12mo,1.479999999999999,4.5291814096082084e-08,69941,36376,821,620,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of selected CHAT surface text
spacy_chat,12-24mo,1.4599999999999995,1.762954000896443e-07,356114,202207,2404,1197,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of selected CHAT surface text
spacy_chat,24-36mo,1.489999999999999,3.394345298672223e-07,1226011,852322,5455,2163,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of selected CHAT surface text
spacy_chat,36-48mo,1.4099999999999997,9.387074615400514e-07,555676,412677,4195,1801,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of selected CHAT surface text
spacy_chat,48-60mo,1.4199999999999997,1.1757461725345426e-06,358251,267098,3725,1751,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of selected CHAT surface text
spacy_chat,60-72mo,1.3899999999999997,1.5670264285641046e-06,91419,66281,1433,816,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of selected CHAT surface text
spacy_chat,72-84mo,1.3799999999999994,1.320507507094723e-06,31229,22252,677,496,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of selected CHAT surface text
