rank,verb,frequency
1,go,80975
2,do,54051
3,want,50016
4,have,47666
5,get,35979
6,think,35282
7,know,35092
8,like,24713
9,say,21912
10,see,21029
11,put,15163
12,look,12775
13,make,11661
14,eat,10912
15,come,10901
16,play,10212
17,need,9835
18,take,7904
19,tell,6860
20,find,5196
21,give,5151
22,mean,5004
23,try,4939
24,happen,4539
25,remember,4332
26,sit,4123
27,fall,3713
28,read,3542
29,love,3105
30,hear,3022
31,use,3012
32,start,2993
33,talk,2905
34,can,2832
35,fit,2758
36,help,2734
37,turn,2698
38,work,2482
39,call,2386
40,bring,2316
41,show,2284
42,guess,2267
43,hold,2107
44,pick,2075
45,feel,2049
46,open,1978
47,ask,1929
48,wear,1907
49,stay,1846
50,keep,1800
51,run,1688
52,hurt,1636
53,move,1630
54,leave,1610
55,walk,1593
56,let,1585
57,drink,1579
58,build,1540
59,seem,1529
60,throw,1522
61,live,1512
62,hit,1422
63,buy,1374
64,stop,1310
65,sleep,1308
66,watch,1303
67,will,1291
68,push,1279
69,fix,1250
70,write,1250
71,bet,1245
72,break,1216
73,forget,1209
74,recognize,1209
75,jump,1180
76,blow,1170
77,drive,1158
78,draw,1153
79,sound,1150
80,sing,1149
81,fly,1147
82,wait,1138
83,pull,1135
84,finish,1122
85,cook,1117
86,stand,1112
87,wash,1110
88,feed,1090
89,knock,1072
90,wonder,1058
91,pretend,1047
92,miss,1034
93,pop,1021
94,cry,1016
95,ride,1014
96,begin,967
97,catch,962
98,drop,954
99,learn,923
100,cut,847
