age_group,z_historical,n_utterances_historical,n_pairs_historical,z_corrected,n_utterances_corrected,n_pairs_corrected
0-12mo,1.4599999999999995,182023,113607,1.4199999999999997,166385,118929
12-24mo,1.3999999999999997,671559,350859,1.3899999999999997,500683,310151
24-36mo,1.4399999999999995,1900684,1163974,1.4599999999999995,1399876,997455
36-48mo,1.3799999999999994,923858,553675,1.3999999999999997,512741,395375
48-60mo,1.3699999999999994,621805,399355,1.3999999999999997,211915,166322
60-72mo,1.2799999999999996,237449,121409,1.4499999999999995,118618,86211
72-84mo,1.2299999999999995,111117,52385,1.5299999999999994,44490,30417
84-96mo,1.2499999999999996,90694,46807,1.5099999999999991,58895,38512
