rank,verb,frequency
1,go,141305
2,do,106828
3,get,75094
4,want,71944
5,have,69996
6,think,54725
7,know,51848
8,say,38061
9,see,37670
10,like,33928
11,put,31811
12,come,22715
13,look,21325
14,make,19638
15,eat,14368
16,take,13084
17,play,12998
18,tell,11902
19,need,11611
20,find,10090
21,give,8583
22,sit,8304
23,happen,8131
24,fall,7815
25,remember,7501
26,can,6881
27,mean,6418
28,hear,6130
29,try,5497
30,talk,4946
31,use,4337
32,read,4198
33,fit,4132
34,bring,4094
35,help,4090
36,will,4060
37,turn,3866
38,hurt,3856
39,work,3780
40,show,3766
41,buy,3725
42,open,3666
43,finish,3664
44,hold,3556
45,love,3520
46,keep,3508
47,call,3312
48,leave,3305
49,start,3228
50,watch,3205
51,run,3200
52,feel,3100
53,stay,3060
54,break,3044
55,draw,2979
56,live,2940
57,throw,2938
58,wear,2884
59,ask,2830
60,sing,2764
61,sleep,2608
62,pick,2533
63,move,2530
64,walk,2508
65,cry,2433
66,let,2379
67,stand,2374
68,sound,2337
69,drink,2312
70,build,2258
71,drive,2253
72,wait,2191
73,write,2180
74,hide,2161
75,wonder,2143
76,bet,2114
77,pull,2096
78,would,2058
79,forget,2026
80,lose,1991
81,push,1970
82,fix,1961
83,jump,1945
84,stop,1799
85,miss,1796
86,guess,1777
87,pretend,1764
88,cut,1753
89,wash,1734
90,drop,1722
91,catch,1617
92,stick,1563
93,fly,1562
94,ride,1545
95,blow,1479
96,could,1397
97,hit,1294
98,wake,1279
99,hope,1240
100,count,1226
