age_group,alpha,mse,n_utterances,n_pairs,n_unique_subjects,n_unique_verbs,status,scope,collection,annotation_scheme
overall,1.4499999999999995,3.663192261124231e-07,856590,593467,5160,2131,ok,matched_eng_na_excluding_hall_mccune,Eng-NA,spaCy dependency parsing of selected CHAT surface text
0-12mo,1.4899999999999993,8.051133096395301e-08,68282,35380,816,620,ok,matched_eng_na_excluding_hall_mccune,Eng-NA,spaCy dependency parsing of selected CHAT surface text
12-24mo,1.4199999999999995,2.5633536964217746e-07,192143,110914,1760,996,ok,matched_eng_na_excluding_hall_mccune,Eng-NA,spaCy dependency parsing of selected CHAT surface text
24-36mo,1.4099999999999995,5.165573179633308e-07,264888,198336,2613,1204,ok,matched_eng_na_excluding_hall_mccune,Eng-NA,spaCy dependency parsing of selected CHAT surface text
36-48mo,1.4099999999999995,6.148057532204926e-07,162502,123119,2247,1082,ok,matched_eng_na_excluding_hall_mccune,Eng-NA,spaCy dependency parsing of selected CHAT surface text
48-60mo,1.3999999999999995,9.165263109842847e-07,99879,77590,1829,995,ok,matched_eng_na_excluding_hall_mccune,Eng-NA,spaCy dependency parsing of selected CHAT surface text
60-72mo,1.4399999999999995,1.4063580614804278e-06,42416,31000,913,654,ok,matched_eng_na_excluding_hall_mccune,Eng-NA,spaCy dependency parsing of selected CHAT surface text
72-84mo,1.3199999999999994,6.4804460479428625e-06,7639,5645,246,289,ok,matched_eng_na_excluding_hall_mccune,Eng-NA,spaCy dependency parsing of selected CHAT surface text
84-96mo,1.3799999999999994,6.132855978462943e-06,18841,11483,495,461,ok,matched_eng_na_excluding_hall_mccune,Eng-NA,spaCy dependency parsing of selected CHAT surface text
