rank,verb,frequency
1,be,38155
2,go,10157
3,do,7307
4,have,6263
5,know,6167
6,get,5304
7,say,3929
8,think,3828
9,see,3767
10,want,3415
11,like,2476
12,come,2448
13,wanna,2423
14,eat,2203
15,make,2007
16,look,1882
17,put,1865
18,take,1622
19,tell,1498
20,hear,1140
21,happen,1119
22,play,1020
23,mean,980
24,give,968
25,need,826
26,talk,819
27,find,691
28,remember,684
29,try,667
30,sit,614
31,start,520
32,call,517
33,ask,493
34,use,483
35,read,481
36,can,471
37,leave,451
38,run,431
39,fall,428
40,let,418
41,bring,412
42,finish,408
43,feel,406
44,work,402
45,turn,378
46,stay,376
47,guess,362
48,walk,347
49,buy,345
50,keep,332
51,help,330
52,watch,323
53,love,313
54,pick,307
55,show,303
56,will,302
57,wait,285
58,hold,272
59,stop,266
60,fly,262
61,forget,254
62,hafta,247
63,wear,242
64,hurt,238
65,write,238
66,break,229
67,move,228
68,listen,223
69,build,216
70,cut,215
71,throw,212
72,live,212
73,drink,185
74,sound,179
75,open,179
76,jump,176
77,catch,176
78,grow,175
79,understand,175
80,win,173
81,sing,169
82,taste,168
83,fix,167
84,lose,165
85,sleep,158
86,miss,157
87,hit,157
88,laugh,156
89,bet,146
90,wash,146
91,pull,145
92,cry,143
93,learn,140
94,wonder,139
95,hadta,139
96,stand,139
97,touch,135
98,hope,133
99,drive,132
100,needta,130
