rank,verb,frequency
1,go,52659
2,do,36983
3,have,24979
4,get,23291
5,know,21979
6,see,18924
7,think,16937
8,want,16870
9,say,14734
10,wanna,14094
11,put,12283
12,like,10869
13,look,8944
14,come,8644
15,make,8264
16,eat,7337
17,take,6276
18,play,5671
19,tell,5096
20,happen,4622
21,give,3883
22,need,3842
23,find,3353
24,sit,3120
25,try,2942
26,hear,2839
27,read,2774
28,mean,2755
29,fall,2679
30,talk,2550
31,remember,2535
32,turn,2246
33,help,1985
34,use,1861
35,bring,1806
36,can,1749
37,call,1720
38,show,1712
39,hold,1670
40,work,1649
41,leave,1556
42,feel,1530
43,love,1452
44,let,1445
45,open,1441
46,run,1412
47,hurt,1403
48,ask,1373
49,start,1367
50,throw,1337
51,stay,1328
52,pick,1288
53,finish,1260
54,walk,1248
55,wear,1236
56,guess,1209
57,write,1201
58,fix,1170
59,buy,1154
60,keep,1141
61,fit,1125
62,drink,1119
63,break,1091
64,live,1083
65,build,1081
66,move,1047
67,watch,1043
68,draw,1042
69,sleep,1025
70,sing,1010
71,wait,975
72,will,963
73,stand,945
74,push,929
75,cry,927
76,fly,900
77,hafta,882
78,needta,877
79,pull,849
80,stop,834
81,jump,833
82,cut,827
83,drive,823
84,catch,758
85,wash,754
86,bet,740
87,miss,738
88,stick,702
89,forget,702
90,hit,686
91,sound,675
92,close,628
93,taste,616
94,blow,615
95,listen,566
96,drop,563
97,touch,551
98,ride,541
99,wonder,532
100,learn,528
