rank,verb,frequency
1,go,647
2,do,611
3,know,584
4,have,476
5,get,429
6,want,340
7,say,330
8,wanna,328
9,think,303
10,eat,200
11,write,197
12,see,189
13,like,174
14,make,132
15,come,128
16,tell,126
17,put,120
18,mean,113
19,look,111
20,read,100
21,take,87
22,need,80
23,give,67
24,ask,56
25,start,56
26,spell,55
27,try,53
28,help,51
29,love,49
30,sit,48
31,feel,43
32,remember,43
33,talk,43
34,miss,42
35,happen,42
36,use,42
37,call,41
38,hear,41
39,work,40
40,bring,39
41,hafta,37
42,sound,36
43,guess,35
44,leave,34
45,play,34
46,finish,30
47,cut,28
48,stop,26
49,can,26
50,find,25
51,move,25
52,pick,24
53,let,24
54,keep,24
55,live,22
56,forget,21
57,learn,20
58,walk,20
59,watch,18
60,stay,18
61,buy,18
62,wait,17
63,hold,17
64,send,17
65,become,16
66,open,16
67,useta,15
68,needta,15
69,sing,15
70,bet,14
71,forgot,14
72,hadta,14
73,believe,14
74,turn,14
75,win,14
76,understand,13
77,fix,13
78,show,13
79,will,12
80,s,12
81,taste,12
82,sleep,12
83,figure,11
84,drink,11
85,bother,11
86,m,10
87,hope,10
88,sign,10
89,throw,10
90,tap,10
91,fall,9
92,end,9
93,pay,9
94,mind,8
95,catch,8
96,fit,8
97,teach,8
98,save,8
99,act,8
100,belong,8
