rank,verb,frequency
1,go,197591
2,do,138619
3,have,102075
4,get,101982
5,want,101633
6,think,80144
7,know,70108
8,like,50794
9,say,50700
10,see,50090
11,put,40454
12,look,28712
13,come,28217
14,make,25869
15,play,19833
16,eat,19664
17,need,19610
18,take,17014
19,tell,15558
20,find,13312
21,give,11116
22,happen,10909
23,sit,10584
24,remember,10084
25,fall,9847
26,mean,9465
27,try,8859
28,can,8501
29,hear,7129
30,use,6324
31,read,6217
32,fit,6143
33,talk,5904
34,help,5704
35,love,5561
36,start,5526
37,will,5394
38,turn,5179
39,show,5164
40,bring,5114
41,work,5069
42,open,4794
43,keep,4629
44,call,4620
45,hold,4605
46,hurt,4467
47,finish,4303
48,buy,4285
49,feel,4225
50,wear,4009
51,run,3969
52,leave,3916
53,pick,3849
54,stay,3849
55,watch,3809
56,move,3707
57,ask,3693
58,live,3692
59,throw,3549
60,break,3522
61,draw,3515
62,sing,3304
63,walk,3296
64,guess,3239
65,sleep,3204
66,let,3171
67,build,3153
68,sound,3059
69,stand,3006
70,drink,3003
71,wonder,2905
72,drive,2857
73,bet,2829
74,pull,2791
75,cry,2786
76,hide,2739
77,stop,2651
78,push,2639
79,wait,2620
80,jump,2570
81,pretend,2520
82,forget,2515
83,write,2500
84,would,2480
85,wash,2430
86,drop,2428
87,lose,2375
88,fix,2323
89,miss,2309
90,seem,2218
91,blow,2215
92,hit,2194
93,cut,2162
94,fly,2096
95,catch,2092
96,ride,1985
97,knock,1978
98,stick,1947
99,cook,1853
100,feed,1830
