rank,verb,frequency
1,go,3846
2,do,3597
3,have,2688
4,want,2636
5,think,2274
6,know,2118
7,get,1881
8,say,1487
9,like,1313
10,see,1265
11,tell,650
12,make,594
13,put,584
14,eat,549
15,look,515
16,play,491
17,come,437
18,read,359
19,mean,351
20,start,332
21,take,297
22,write,290
23,remember,288
24,happen,278
25,need,262
26,hit,235
27,give,220
28,try,203
29,can,201
30,use,185
31,help,182
32,call,181
33,talk,174
34,hear,165
35,work,145
36,sound,144
37,love,144
38,move,142
39,ask,141
40,find,135
41,live,130
42,show,119
43,guess,119
44,sit,113
45,wear,110
46,feel,109
47,bring,100
48,run,100
49,finish,99
50,pick,96
51,keep,94
52,watch,92
53,turn,92
54,forget,88
55,learn,88
56,fall,87
57,let,79
58,walk,76
59,buy,75
60,paint,74
61,hold,74
62,grow,73
63,spell,73
64,leave,69
65,brush,68
66,miss,67
67,win,66
68,wash,66
69,sing,65
70,stand,64
71,understand,63
72,share,63
73,skip,62
74,stop,61
75,wait,58
76,jump,57
77,dress,54
78,bet,52
79,haft,52
80,stay,50
81,hurt,49
82,ride,49
83,will,46
84,build,46
85,would,46
86,press,45
87,draw,44
88,sleep,44
89,pretend,42
90,drink,41
91,teach,40
92,fly,40
93,feed,40
94,listen,38
95,cut,38
96,wonder,34
97,taste,34
98,lose,34
99,pull,34
100,lie,33
