rank,verb,frequency
1,be,59849
2,go,15658
3,do,12843
4,have,7352
5,get,5964
6,know,5697
7,see,5675
8,think,5290
9,want,4989
10,put,4315
11,wanna,3989
12,say,3532
13,like,2997
14,look,2694
15,make,2671
16,come,2154
17,take,1899
18,eat,1731
19,play,1665
20,happen,1607
21,tell,1260
22,give,1254
23,need,1210
24,sit,1013
25,fall,1003
26,find,988
27,read,779
28,remember,756
29,talk,680
30,turn,661
31,help,635
32,hold,625
33,mean,610
34,try,601
35,show,586
36,can,564
37,bring,560
38,hurt,550
39,use,535
40,hear,534
41,wear,504
42,draw,504
43,work,486
44,fix,450
45,write,432
46,open,430
47,fit,416
48,sleep,411
49,sing,399
50,drive,395
51,cry,392
52,drink,392
53,leave,383
54,pick,380
55,throw,374
56,break,373
57,let,367
58,buy,356
59,love,349
60,stand,347
61,finish,346
62,call,341
63,wait,341
64,build,336
65,run,333
66,live,326
67,ask,322
68,guess,314
69,feel,309
70,move,303
71,cut,303
72,stay,295
73,will,288
74,push,288
75,jump,265
76,hit,258
77,pull,257
78,watch,254
79,keep,252
80,bet,245
81,catch,240
82,walk,237
83,fly,232
84,start,230
85,wash,224
86,needta,224
87,ride,223
88,hafta,219
89,miss,201
90,blow,201
91,close,199
92,taste,195
93,drop,185
94,bite,184
95,hide,178
96,pretend,169
97,stop,167
98,stick,166
99,feed,160
100,cook,153
