rank,verb,frequency
1,be,191372
2,go,52773
3,do,37385
4,have,25053
5,get,23199
6,know,21975
7,see,18907
8,think,16936
9,want,16870
10,say,15017
11,wanna,14096
12,put,12234
13,like,11103
14,look,8618
15,come,8521
16,make,8223
17,eat,7366
18,take,6251
19,play,5622
20,tell,5056
21,happen,4635
22,give,3867
23,need,3843
24,find,3344
25,sit,3098
26,try,2934
27,hear,2834
28,read,2786
29,mean,2778
30,fall,2672
31,talk,2544
32,remember,2526
33,turn,2237
34,can,1966
35,help,1962
36,use,1855
37,bring,1799
38,show,1690
39,hold,1657
40,work,1651
41,call,1648
42,leave,1540
43,feel,1519
44,love,1458
45,run,1415
46,open,1406
47,ask,1377
48,hurt,1373
49,start,1353
50,let,1334
51,stay,1325
52,throw,1320
53,pick,1291
54,walk,1250
55,wear,1234
56,finish,1209
57,guess,1207
58,write,1203
59,fix,1164
60,buy,1151
61,keep,1136
62,drink,1126
63,fit,1116
64,live,1082
65,build,1078
66,will,1063
67,move,1046
68,break,1046
69,draw,1041
70,watch,1038
71,sleep,1016
72,sing,1009
73,wait,971
74,stand,942
75,cry,936
76,push,921
77,fly,908
78,needta,886
79,hafta,871
80,pull,845
81,jump,845
82,drive,819
83,cut,818
84,stop,795
85,catch,757
86,wash,754
87,bet,743
88,miss,729
89,hit,682
90,sound,663
91,stick,652
92,forget,638
93,close,634
94,taste,614
95,blow,609
96,drop,558
97,listen,556
98,ride,544
99,wonder,533
100,touch,531
