age_group,spacy_chat,spacy_original,ud_chat
overall,1.4499999999999995,1.4499999999999995,1.4599999999999995
0-12mo,1.489999999999999,1.479999999999999,1.4699999999999993
12-24mo,1.4199999999999997,1.4099999999999997,1.4199999999999997
24-36mo,1.4099999999999997,1.4099999999999997,1.4099999999999997
36-48mo,1.4099999999999997,1.4099999999999997,1.4099999999999997
48-60mo,1.3999999999999997,1.3999999999999997,1.3999999999999997
60-72mo,1.4399999999999995,1.4399999999999995,1.3899999999999997
72-84mo,1.3199999999999994,1.3199999999999994,1.2399999999999995
84-96mo,1.3799999999999994,1.3899999999999997,1.3299999999999994
