rank,verb,frequency
1,be,604781
2,go,148505
3,do,116842
4,get,72576
5,have,72529
6,think,54910
7,know,51223
8,see,48334
9,want,39626
10,say,39260
11,put,36982
12,wanna,32719
13,like,30276
14,come,24779
15,look,24213
16,make,20859
17,eat,14673
18,play,14645
19,take,14418
20,tell,12499
21,need,11505
22,happen,11374
23,find,10710
24,sit,9231
25,give,9011
26,fall,8012
27,remember,7582
28,can,6677
29,try,6575
30,hear,6336
31,mean,6276
32,read,5614
33,talk,5401
34,help,5053
35,turn,4712
36,show,4488
37,use,4436
38,call,4354
39,will,4351
40,open,4328
41,finish,4290
42,bring,4264
43,fit,4135
44,hurt,3962
45,work,3916
46,hold,3914
47,buy,3700
48,leave,3687
49,keep,3565
50,start,3447
51,run,3440
52,love,3437
53,feel,3432
54,break,3352
55,watch,3351
56,draw,3337
57,throw,3173
58,move,3107
59,stay,3020
60,sing,3010
61,wear,2913
62,sleep,2909
63,ask,2879
64,pick,2854
65,let,2846
66,live,2841
67,needta,2828
68,walk,2721
69,stand,2707
70,cry,2630
71,build,2585
72,drive,2450
73,sound,2433
74,pull,2396
75,drink,2362
76,write,2359
77,wait,2294
78,cut,2293
79,stick,2284
80,fix,2244
81,push,2167
82,bet,2123
83,wonder,2118
84,jump,2105
85,stop,2062
86,wash,2028
87,hide,2020
88,hafta,1954
89,miss,1940
90,lose,1839
91,catch,1813
92,guess,1804
93,pretend,1773
94,drop,1745
95,fly,1684
96,would,1612
97,forget,1608
98,blow,1574
99,count,1453
100,useta,1423
