rank,verb,frequency
1,go,206499
2,do,157861
3,have,108631
4,get,99898
5,think,80899
6,know,71493
7,see,65372
8,want,58300
9,say,53561
10,put,47630
11,like,47301
12,wanna,42597
13,look,31649
14,come,30948
15,make,27815
16,play,22754
17,eat,20564
18,need,19491
19,take,18978
20,tell,17151
21,happen,15668
22,find,14163
23,sit,11981
24,give,11929
25,try,10628
26,remember,10312
27,fall,10184
28,can,9999
29,mean,9884
30,read,8275
31,hear,7491
32,help,7026
33,talk,6606
34,use,6562
35,turn,6407
36,show,6163
37,will,6134
38,fit,6126
39,start,5870
40,call,5577
41,bring,5450
42,open,5440
43,work,5437
44,love,5365
45,hold,5222
46,finish,4969
47,keep,4855
48,feel,4673
49,move,4632
50,hurt,4547
51,leave,4430
52,pick,4358
53,buy,4346
54,run,4302
55,watch,4133
56,wear,4078
57,draw,3985
58,stay,3981
59,ask,3829
60,throw,3820
61,break,3772
62,build,3734
63,sing,3663
64,live,3649
65,sleep,3629
66,walk,3619
67,let,3572
68,stand,3462
69,guess,3290
70,needta,3229
71,sound,3211
72,pull,3168
73,drive,3155
74,drink,3142
75,cry,3103
76,bet,2928
77,push,2908
78,wonder,2904
79,stop,2889
80,wash,2845
81,cut,2839
82,jump,2810
83,wait,2806
84,hide,2799
85,would,2778
86,write,2759
87,fix,2692
88,miss,2475
89,drop,2459
90,stick,2432
91,seem,2428
92,pretend,2409
93,blow,2380
94,catch,2363
95,fly,2294
96,hit,2292
97,hafta,2248
98,lose,2204
99,cook,2119
100,pop,2064
