rank,verb,frequency
1,go,40988
2,do,33465
3,have,21702
4,get,20847
5,think,17143
6,know,16128
7,see,13095
8,say,10495
9,want,9926
10,put,9462
11,like,8605
12,wanna,8283
13,look,6699
14,come,6591
15,make,5613
16,happen,4235
17,need,4155
18,eat,4094
19,take,4015
20,play,3822
21,tell,3390
22,find,2779
23,can,2410
24,give,2407
25,remember,2326
26,sit,2319
27,mean,2213
28,try,2060
29,fall,2005
30,will,1687
31,help,1445
32,read,1424
33,hear,1420
34,show,1407
35,use,1398
36,bring,1312
37,fit,1281
38,work,1273
39,talk,1266
40,turn,1253
41,start,1239
42,finish,1231
43,buy,1212
44,call,1188
45,open,1117
46,run,1095
47,hurt,1064
48,leave,1041
49,hold,1009
50,feel,982
51,keep,980
52,move,969
53,love,965
54,stay,923
55,live,894
56,watch,875
57,break,871
58,sleep,852
59,walk,813
60,ask,807
61,needta,777
62,drive,734
63,pick,727
64,wonder,705
65,draw,701
66,stand,699
67,would,692
68,build,687
69,let,686
70,wear,673
71,wait,665
72,miss,663
73,sing,653
74,bet,646
75,cut,643
76,cry,641
77,pretend,591
78,guess,585
79,hide,575
80,throw,574
81,hafta,571
82,catch,571
83,jump,570
84,pull,533
85,fix,530
86,push,522
87,stick,515
88,sound,512
89,stop,512
90,drink,511
91,lose,504
92,fly,504
93,wash,487
94,could,465
95,useta,436
96,forget,426
97,grow,424
98,blow,409
99,count,406
100,drop,404
