rank,verb,frequency
1,go,148505
2,do,116842
3,get,72576
4,have,72529
5,think,54910
6,know,51223
7,see,48334
8,want,39626
9,say,39260
10,put,36982
11,wanna,32719
12,like,30276
13,come,24779
14,look,24213
15,make,20859
16,eat,14673
17,play,14645
18,take,14418
19,tell,12499
20,need,11505
21,happen,11374
22,find,10710
23,sit,9231
24,give,9011
25,fall,8012
26,remember,7582
27,can,6677
28,try,6575
29,hear,6336
30,mean,6276
31,read,5614
32,talk,5401
33,help,5053
34,turn,4712
35,show,4488
36,use,4436
37,call,4354
38,will,4351
39,open,4328
40,finish,4290
41,bring,4264
42,fit,4135
43,hurt,3962
44,work,3916
45,hold,3914
46,buy,3700
47,leave,3687
48,keep,3565
49,start,3447
50,run,3440
51,love,3437
52,feel,3432
53,break,3352
54,watch,3351
55,draw,3337
56,throw,3173
57,move,3107
58,stay,3020
59,sing,3010
60,wear,2913
61,sleep,2909
62,ask,2879
63,pick,2854
64,let,2846
65,live,2841
66,needta,2828
67,walk,2721
68,stand,2707
69,cry,2630
70,build,2585
71,drive,2450
72,sound,2433
73,pull,2396
74,drink,2362
75,write,2359
76,wait,2294
77,cut,2293
78,stick,2284
79,fix,2244
80,push,2167
81,bet,2123
82,wonder,2118
83,jump,2105
84,stop,2062
85,wash,2028
86,hide,2020
87,hafta,1954
88,miss,1940
89,lose,1839
90,catch,1813
91,guess,1804
92,pretend,1773
93,drop,1745
94,fly,1684
95,would,1612
96,forget,1608
97,blow,1574
98,count,1453
99,useta,1423
100,color,1406
