rank,verb,frequency
1,have,5454
2,go,5079
3,think,4397
4,know,3470
5,do,3446
6,like,3354
7,get,3072
8,be,2935
9,want,2732
10,play,1871
11,see,1568
12,say,1557
13,look,932
14,try,930
15,put,875
16,mean,713
17,make,711
18,eat,692
19,recognize,677
20,seem,659
21,come,601
22,love,519
23,take,447
24,read,435
25,give,393
26,guess,382
27,need,328
28,pick,317
29,hear,316
30,sit,294
31,start,285
32,find,276
33,feel,250
34,remember,244
35,notice,239
36,keep,231
37,talk,223
38,tell,212
39,fall,191
40,ask,186
41,hold,185
42,use,183
43,show,181
44,can,179
45,throw,168
46,pull,168
47,prefer,164
48,chew,163
49,let,156
50,work,147
51,help,131
52,turn,123
53,walk,120
54,watch,115
55,move,114
56,stand,107
57,call,105
58,crawl,104
59,touch,102
60,feed,102
61,shake,102
62,care,100
63,grab,97
64,change,97
65,bang,93
66,drop,92
67,dunno,91
68,sing,90
69,bring,88
70,leave,84
71,drink,83
72,will,83
73,hurt,82
74,roll,81
75,sound,77
76,open,75
77,wonder,75
78,push,73
79,tend,73
80,stay,72
81,enjoy,72
82,wash,68
83,would,67
84,wave,66
85,run,65
86,taste,65
87,stop,63
88,forget,62
89,knock,61
90,smile,61
91,clean,60
92,pretend,60
93,happen,58
94,learn,58
95,laugh,57
96,spend,56
97,pay,55
98,wear,53
99,close,51
100,understand,49
