rank,verb,frequency
1,go,80660
2,do,53549
3,want,49831
4,have,46583
5,be,38516
6,get,35492
7,think,34424
8,know,34348
9,like,24066
10,say,21675
11,see,20842
12,put,15077
13,look,12658
14,make,11536
15,come,10857
16,eat,10823
17,need,9822
18,play,9821
19,take,7865
20,tell,6835
21,find,5177
22,give,5116
23,mean,4834
24,try,4789
25,happen,4531
26,remember,4293
27,sit,4078
28,fall,3706
29,read,3456
30,love,3023
31,hear,2995
32,use,2988
33,start,2927
34,talk,2867
35,can,2807
36,fit,2751
37,help,2721
38,turn,2688
39,work,2465
40,call,2353
41,bring,2303
42,show,2239
43,guess,2164
44,hold,2092
45,feel,2016
46,pick,1991
47,open,1971
48,wear,1906
49,ask,1890
50,stay,1838
51,keep,1773
52,run,1686
53,hurt,1636
54,move,1615
55,leave,1606
56,walk,1587
57,drink,1568
58,let,1561
59,build,1539
60,throw,1515
61,live,1508
62,hit,1417
63,buy,1368
64,seem,1366
65,stop,1307
66,sleep,1304
67,watch,1285
68,will,1271
69,push,1267
70,fix,1250
71,write,1244
72,bet,1242
73,break,1215
74,forget,1201
75,jump,1178
76,blow,1169
77,drive,1157
78,draw,1153
79,sound,1146
80,fly,1146
81,wait,1137
82,sing,1132
83,pull,1122
84,finish,1120
85,wash,1110
86,stand,1105
87,cook,1103
88,feed,1082
89,knock,1072
90,recognize,1058
91,wonder,1048
92,miss,1032
93,pretend,1031
94,pop,1021
95,cry,1015
96,ride,1014
97,begin,962
98,catch,954
99,drop,951
100,learn,913
