collection,transcript,reason
Eng-NA,Braunwald/0diary/010411.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010412.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010413.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010414.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010415.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010416.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010417.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010418.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010419.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010420.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010421.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010422.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010423.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010424.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010425.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010426.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010427.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010428.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010429.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010500.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010501.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010505.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010506.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010507.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010508.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010509.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010510.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010511.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010512.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010513.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010514.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010515.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010516.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010517.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010518.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010519.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010520.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010521.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010522.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010523.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010524.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010527.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010529.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010530.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010600.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010601.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010602.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010603.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010604.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010605.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010606.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010607.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010608.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010609.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010610.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010611.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010612.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010613.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010614.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010615.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010616.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010617.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010618.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010619.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010620.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010621.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010622.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010623.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010624.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010625.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010627.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010628.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010629.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010630.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010700.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010701.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010702.cha,weak_text_identity
