age_group,source,position,verb
0-12mo,spacy,66,walk
0-12mo,spacy,67,wonder
0-12mo,spacy,68,roll
0-12mo,spacy,69,watch
0-12mo,spacy,70,sing
0-12mo,spacy,71,call
0-12mo,spacy,72,leave
0-12mo,spacy,73,happen
0-12mo,spacy,74,knock
0-12mo,spacy,75,change
0-12mo,spacy,76,dunno
0-12mo,spacy,77,bring
0-12mo,spacy,78,hurt
0-12mo,spacy,79,bang
0-12mo,spacy,80,wash
0-12mo,spacy,81,grab
0-12mo,spacy,82,wear
0-12mo,spacy,83,will
0-12mo,spacy,84,crawl
0-12mo,spacy,85,stay
0-12mo,spacy,86,clean
0-12mo,spacy,87,run
0-12mo,spacy,88,push
0-12mo,spacy,89,bet
0-12mo,spacy,90,pretend
0-12mo,spacy,91,care
0-12mo,spacy,92,clap
0-12mo,spacy,93,share
0-12mo,spacy,94,hit
0-12mo,spacy,95,wave
0-12mo,spacy,96,reach
0-12mo,spacy,97,build
0-12mo,spacy,98,swim
0-12mo,spacy,99,kiss
0-12mo,spacy,100,hide
0-12mo,ud,1,have
0-12mo,ud,2,go
0-12mo,ud,3,think
0-12mo,ud,4,know
0-12mo,ud,5,like
0-12mo,ud,6,do
0-12mo,ud,7,get
0-12mo,ud,8,be
0-12mo,ud,9,want
0-12mo,ud,10,play
0-12mo,ud,11,say
0-12mo,ud,12,see
0-12mo,ud,13,try
0-12mo,ud,14,look
0-12mo,ud,15,put
0-12mo,ud,16,mean
0-12mo,ud,17,recognize
0-12mo,ud,18,make
0-12mo,ud,19,seem
0-12mo,ud,20,eat
0-12mo,ud,21,come
0-12mo,ud,22,love
0-12mo,ud,23,read
0-12mo,ud,24,take
0-12mo,ud,25,guess
0-12mo,ud,26,give
0-12mo,ud,27,pick
0-12mo,ud,28,hear
0-12mo,ud,29,need
0-12mo,ud,30,sit
0-12mo,ud,31,start
0-12mo,ud,32,find
0-12mo,ud,33,feel
0-12mo,ud,34,remember
0-12mo,ud,35,notice
0-12mo,ud,36,talk
0-12mo,ud,37,keep
0-12mo,ud,38,tell
0-12mo,ud,39,ask
0-12mo,ud,40,show
0-12mo,ud,41,prefer
0-12mo,ud,42,use
0-12mo,ud,43,hold
0-12mo,ud,44,fall
0-12mo,ud,45,can
0-12mo,ud,46,chew
0-12mo,ud,47,let
0-12mo,ud,48,pull
0-12mo,ud,49,throw
0-12mo,ud,50,work
0-12mo,ud,51,help
0-12mo,ud,52,turn
0-12mo,ud,53,move
0-12mo,ud,54,walk
0-12mo,ud,55,watch
0-12mo,ud,56,call
0-12mo,ud,57,touch
0-12mo,ud,58,stand
0-12mo,ud,59,change
0-12mo,ud,60,crawl
0-12mo,ud,61,grab
0-12mo,ud,62,shake
0-12mo,ud,63,feed
0-12mo,ud,64,sing
0-12mo,ud,65,care
0-12mo,ud,66,dunno
0-12mo,ud,67,bang
0-12mo,ud,68,bring
0-12mo,ud,69,drop
0-12mo,ud,70,drink
0-12mo,ud,71,will
0-12mo,ud,72,roll
0-12mo,ud,73,tend
0-12mo,ud,74,leave
0-12mo,ud,75,hurt
0-12mo,ud,76,push
0-12mo,ud,77,sound
0-12mo,ud,78,wonder
0-12mo,ud,79,enjoy
0-12mo,ud,80,open
0-12mo,ud,81,stay
0-12mo,ud,82,would
0-12mo,ud,83,pretend
0-12mo,ud,84,forget
0-12mo,ud,85,wash
0-12mo,ud,86,run
0-12mo,ud,87,taste
0-12mo,ud,88,wave
0-12mo,ud,89,spend
0-12mo,ud,90,stop
0-12mo,ud,91,happen
0-12mo,ud,92,clean
0-12mo,ud,93,pay
0-12mo,ud,94,smile
0-12mo,ud,95,knock
0-12mo,ud,96,learn
0-12mo,ud,97,laugh
0-12mo,ud,98,understand
0-12mo,ud,99,wear
0-12mo,ud,100,close
12-24mo,spacy,1,be
12-24mo,spacy,2,go
12-24mo,spacy,3,do
12-24mo,spacy,4,have
12-24mo,spacy,5,get
12-24mo,spacy,6,want
12-24mo,spacy,7,see
12-24mo,spacy,8,say
12-24mo,spacy,9,wanna
12-24mo,spacy,10,put
12-24mo,spacy,11,know
12-24mo,spacy,12,think
12-24mo,spacy,13,like
12-24mo,spacy,14,look
12-24mo,spacy,15,come
12-24mo,spacy,16,make
12-24mo,spacy,17,play
12-24mo,spacy,18,take
12-24mo,spacy,19,eat
12-24mo,spacy,20,find
12-24mo,spacy,21,need
12-24mo,spacy,22,sit
12-24mo,spacy,23,give
12-24mo,spacy,24,read
12-24mo,spacy,25,try
12-24mo,spacy,26,fall
12-24mo,spacy,27,turn
12-24mo,spacy,28,open
12-24mo,spacy,29,hear
12-24mo,spacy,30,tell
12-24mo,spacy,31,help
12-24mo,spacy,32,throw
12-24mo,spacy,33,love
