z,mse
0.1,0.0010302867861620056
0.11,0.0010276882172190768
0.12,0.001025010966521552
0.13,0.0010222528574247017
0.13999999999999999,0.0010194116791028681
0.14999999999999997,0.0010164851878361222
0.15999999999999998,0.0010134711084529159
0.16999999999999998,0.0010103671359363703
0.17999999999999997,0.0010071709372018803
0.18999999999999995,0.0010038801530536908
0.19999999999999996,0.0010004924003281011
0.20999999999999996,0.0009970052742308592
0.21999999999999995,0.000993416350876196
0.22999999999999995,0.0009897231900347938
0.23999999999999994,0.0009859233380977647
0.24999999999999992,0.000982014331263448
0.2599999999999999,0.0009779936989535063
0.2699999999999999,0.000973858967464429
0.2799999999999999,0.0009696076638600822
0.2899999999999999,0.0009652373201104235
0.29999999999999993,0.000960745477480921
0.30999999999999994,0.0009561296911765333
0.3199999999999999,0.0009513875352433564
0.32999999999999985,0.0009465166077302197
0.33999999999999986,0.0009415145361116008
0.34999999999999987,0.0009363789829722127
0.3599999999999999,0.000931107651952549
0.3699999999999999,0.0009256982939534709
0.3799999999999999,0.0009201487135966845
0.3899999999999999,0.00091445677593656
0.3999999999999998,0.0009086204134173463
0.4099999999999998,0.0009026376330682732
0.4199999999999998,0.0008965065239274306
0.4299999999999998,0.0008902252646836374
0.43999999999999984,0.0008837921315237262
0.44999999999999984,0.000877205506170851
0.45999999999999985,0.0008704638840975347
0.46999999999999986,0.0008635658828952126
0.47999999999999976,0.0008565102507800521
0.48999999999999977,0.0008492958752128043
0.4999999999999998,0.000841921791608395
0.5099999999999998,0.0008343871921089264
0.5199999999999998,0.0008266914343917114
0.5299999999999998,0.0008188340504819517
0.5399999999999998,0.0008108147555376888
0.5499999999999998,0.0008026334565727621
0.5599999999999997,0.0007942902610816366
0.5699999999999997,0.0007857854855282596
0.5799999999999997,0.0007771196636594652
0.5899999999999997,0.0007682935546019677
0.5999999999999998,0.0007593081507006775
0.6099999999999998,0.0007501646850549335
0.6199999999999998,0.000740864638708318
0.6299999999999997,0.000731409747447022
0.6399999999999997,0.0007218020081612811
0.6499999999999997,0.000712043684724208
0.6599999999999997,0.0007021373133424615
0.6699999999999997,0.0006920857073335926
0.6799999999999997,0.0006818919612856313
0.6899999999999997,0.0006715594545555483
0.6999999999999996,0.0006610918540646176
0.7099999999999996,0.0006504931163504611
0.7199999999999996,0.0006397674888376793
0.7299999999999996,0.0006289195102914239
0.7399999999999997,0.0006179540104211181
0.7499999999999997,0.0006068761086046845
0.7599999999999997,0.0005956912117071895
0.7699999999999997,0.000584405010971641
0.7799999999999997,0.0005730234779638602
0.7899999999999996,0.0005615528595577877
0.7999999999999996,0.0005499996719523146
0.8099999999999996,0.0005383706937156903
0.8199999999999996,0.000526672957858708
0.8299999999999996,0.0005149137429432116
0.8399999999999996,0.0005031005632379186
0.8499999999999996,0.0004912411579390978
0.8599999999999995,0.0004793434794792271
0.8699999999999996,0.0004674156809523286
0.8799999999999996,0.00045546610269020965
0.8899999999999996,0.0004435032580292552
0.8999999999999996,0.00043153581831267666
0.9099999999999996,0.000419572597178202
0.9199999999999996,0.0004076225341859933
0.9299999999999996,0.0003956946778460964
0.9399999999999996,0.00038379816810890627
0.9499999999999995,0.0003719422183859218
0.9599999999999995,0.0003601360971714189
0.9699999999999995,0.00034838910933860095
0.9799999999999995,0.00033671057718618946
0.9899999999999995,0.0003251098213133352
0.9999999999999996,0.00031359614140210506
1.0099999999999996,0.0003021787969876238
1.0199999999999996,0.000290866988296216
1.0299999999999996,0.00027966983723160655
1.0399999999999996,0.00026859636858837885
1.0499999999999996,0.0002576554915704922
1.0599999999999996,0.0002468559816907161
1.0699999999999996,0.00023620646312438434
1.0799999999999996,0.00022571539158792474
1.0899999999999996,0.0002153910378092025
1.0999999999999996,0.0002052414716528814
1.1099999999999997,0.00019527454695977188
1.1199999999999997,0.0001854978871545555
1.1299999999999997,0.0001759188716713946
1.1399999999999997,0.0001665446232417894
1.1499999999999995,0.00015738199608369873
1.1599999999999995,0.00014843756502542552
1.1699999999999995,0.00013971761559215346
1.1799999999999995,0.00013122813507733552
1.1899999999999995,0.00012297480461544562
1.1999999999999995,0.0001149629922669551
1.2099999999999995,0.0001071977471208133
1.2199999999999995,9.96837944142716e-05
1.2299999999999995,9.242553166461049e-05
1.2399999999999995,8.54270258022425e-05
1.2499999999999996,7.869201128983742e-05
1.2599999999999996,7.22238892075304e-05
1.2699999999999996,6.602572728000796e-05
1.2799999999999996,6.010026081729403e-05
1.2899999999999996,5.444989453744174e-05
1.2999999999999994,4.9076705236052935e-05
1.3099999999999994,4.398244526462754e-05
1.3199999999999994,3.9168546777201324e-05
1.3299999999999994,3.463612670253043e-05
1.3399999999999994,3.03859923972779e-05
1.3499999999999994,2.6418647934190618e-05
1.3599999999999994,2.27343009781563e-05
1.3699999999999994,1.9332870202274362e-05
1.3799999999999994,1.621399319564436e-05
1.3899999999999995,1.3377034814467013e-05
