rank,verb,frequency
1,go,52773
2,do,37385
3,have,25053
4,get,23199
5,know,21975
6,see,18907
7,think,16936
8,want,16870
9,say,15017
10,wanna,14096
11,put,12234
12,like,11103
13,look,8618
14,come,8521
15,make,8223
16,eat,7366
17,take,6251
18,play,5622
19,tell,5056
20,happen,4635
21,give,3867
22,need,3843
23,find,3344
24,sit,3098
25,try,2934
26,hear,2834
27,read,2786
28,mean,2778
29,fall,2672
30,talk,2544
31,remember,2526
32,turn,2237
33,can,1966
34,help,1962
35,use,1855
36,bring,1799
37,show,1690
38,hold,1657
39,work,1651
40,call,1648
41,leave,1540
42,feel,1519
43,love,1458
44,run,1415
45,open,1406
46,ask,1377
47,hurt,1373
48,start,1353
49,let,1334
50,stay,1325
51,throw,1320
52,pick,1291
53,walk,1250
54,wear,1234
55,finish,1209
56,guess,1207
57,write,1203
58,fix,1164
59,buy,1151
60,keep,1136
61,drink,1126
62,fit,1116
63,live,1082
64,build,1078
65,will,1063
66,move,1046
67,break,1046
68,draw,1041
69,watch,1038
70,sleep,1016
71,sing,1009
72,wait,971
73,stand,942
74,cry,936
75,push,921
76,fly,908
77,needta,886
78,hafta,871
79,pull,845
80,jump,845
81,drive,819
82,cut,818
83,stop,795
84,catch,757
85,wash,754
86,bet,743
87,miss,729
88,hit,682
89,sound,663
90,stick,652
91,forget,638
92,close,634
93,taste,614
94,blow,609
95,drop,558
96,listen,556
97,ride,544
98,wonder,533
99,touch,531
100,hide,530
