rank,verb,frequency
1,go,9481
2,do,7473
3,have,4728
4,know,4447
5,get,4170
6,think,3728
7,see,3589
8,want,2449
9,say,2350
10,wanna,2203
11,like,2082
12,put,1898
13,look,1696
14,come,1668
15,make,1640
16,eat,1458
17,tell,1202
18,happen,1186
19,take,1115
20,play,994
21,need,727
22,give,687
23,remember,655
24,find,652
25,mean,601
26,try,571
27,fall,539
28,sit,479
29,show,437
30,read,422
31,bring,410
32,talk,404
33,can,397
34,use,394
35,help,393
36,hear,362
37,call,353
38,turn,349
39,work,337
40,run,337
41,ask,291
42,hold,289
43,buy,286
44,hurt,285
45,leave,276
46,walk,275
47,feel,266
48,live,262
49,stay,255
50,break,252
51,fit,249
52,guess,242
53,will,235
54,sleep,225
55,watch,225
56,wear,223
57,start,221
58,build,221
59,open,209
60,finish,209
61,pick,198
62,keep,196
63,jump,190
64,let,188
65,fix,186
66,hafta,185
67,move,182
68,drink,179
69,fly,176
70,wait,176
71,love,171
72,drive,170
73,stand,169
74,bet,169
75,needta,166
76,cut,160
77,cry,160
78,pretend,151
79,catch,151
80,miss,150
81,wonder,149
82,throw,149
83,draw,144
84,push,138
85,sing,138
86,blow,133
87,learn,128
88,hit,127
89,sound,126
90,grow,123
91,lose,120
92,teach,120
93,forget,119
94,pull,116
95,stop,116
96,ride,114
97,wash,114
98,hide,112
99,knock,108
100,write,104
