rank,verb,frequency
1,go,1157
2,have,933
3,do,930
4,get,750
5,know,749
6,think,649
7,be,631
8,want,472
9,see,424
10,say,380
11,put,332
12,like,323
13,come,285
14,look,274
15,tell,227
16,take,207
17,make,186
18,play,157
19,give,149
20,need,107
21,happen,104
22,break,96
23,eat,95
24,mean,92
25,find,88
26,can,81
27,try,73
28,use,70
29,show,70
30,guess,69
31,write,69
32,fall,68
33,hear,68
34,talk,68
35,call,63
36,buy,60
37,turn,59
38,bring,57
39,sit,55
40,hurt,54
41,ask,53
42,remember,50
43,sing,49
44,lose,46
45,leave,45
46,forget,44
47,hold,40
48,stay,39
49,open,39
50,keep,39
51,pick,38
52,work,37
53,live,37
54,hit,37
55,let,36
56,finish,34
57,will,34
58,cut,32
59,blow,32
60,miss,32
61,throw,32
62,move,32
63,pull,31
64,read,30
65,knock,29
66,start,29
67,draw,28
68,run,28
69,learn,27
70,catch,26
71,sound,26
72,sleep,25
73,stand,25
74,cry,25
75,stop,25
76,would,24
77,drink,23
78,wait,22
79,watch,22
80,walk,22
81,fit,21
82,spell,20
83,fix,19
84,cook,19
85,drop,19
86,fly,18
87,ride,18
88,love,18
89,bite,17
90,help,16
91,close,16
92,push,16
93,suppose,16
94,shave,15
95,feel,15
96,wear,15
97,tie,15
98,win,15
99,spill,14
100,change,14
