rank,verb,frequency
1,go,3799
2,do,3102
3,have,2764
4,get,2186
5,know,1998
6,be,1891
7,think,1832
8,want,1684
9,see,1234
10,say,1217
11,like,1011
12,put,1000
13,come,821
14,look,778
15,make,720
16,take,611
17,tell,562
18,give,443
19,play,420
20,happen,355
21,need,342
22,write,339
23,eat,339
24,mean,273
25,sit,256
26,break,253
27,find,226
28,hear,213
29,can,212
30,fall,209
31,ask,200
32,talk,194
33,use,191
34,read,189
35,bring,189
36,guess,177
37,try,176
38,hurt,172
39,buy,164
40,call,162
41,show,160
42,turn,153
43,work,144
44,forget,135
45,stay,132
46,drink,130
47,draw,128
48,remember,127
49,leave,126
50,sing,126
51,hit,122
52,throw,115
53,lose,112
54,fix,110
55,hold,110
56,let,107
57,spell,102
58,keep,101
59,start,101
60,drop,100
61,cut,98
62,live,97
63,will,97
64,wear,96
65,love,92
66,cry,92
67,finish,91
68,open,90
69,pick,86
70,ride,85
71,move,82
72,pull,80
73,bite,78
74,blow,78
75,run,78
76,walk,77
77,sleep,77
78,miss,76
79,help,71
80,watch,70
81,catch,69
82,stand,68
83,push,66
84,spill,65
85,feel,65
86,learn,64
87,wait,63
88,fly,59
89,jump,58
90,belong,57
91,knock,57
92,sound,57
93,change,56
94,would,55
95,fit,55
96,stop,54
97,bet,52
98,understand,51
99,wash,50
100,grow,50
