rank,verb,frequency
1,go,1232
2,do,1036
3,have,764
4,get,642
5,want,562
6,be,562
7,know,499
8,think,432
9,say,386
10,see,373
11,like,319
12,put,296
13,come,225
14,take,197
15,make,186
16,look,163
17,tell,161
18,write,135
19,play,135
20,happen,134
21,eat,119
22,give,115
23,sit,106
24,fall,103
25,need,103
26,break,102
27,hurt,83
28,ask,83
29,read,61
30,ride,60
31,talk,60
32,hit,59
33,drop,59
34,sing,58
35,hear,57
36,throw,55
37,can,53
38,buy,52
39,find,51
40,work,50
41,drink,50
42,use,48
43,love,47
44,draw,45
45,try,43
46,bite,42
47,fix,41
48,bring,41
49,cry,41
50,mean,39
51,will,39
52,stay,38
53,turn,38
54,wear,37
55,guess,35
56,show,34
57,remember,34
58,forget,34
59,pick,33
60,call,33
61,belong,32
62,walk,28
63,blow,28
64,help,27
65,spill,27
66,finish,26
67,lose,26
68,sleep,26
69,leave,24
70,catch,24
71,fit,24
72,wait,24
73,stand,23
74,pull,23
75,feel,23
76,let,23
77,watch,22
78,cut,22
79,wake,22
80,live,21
81,fly,21
82,jump,20
83,wash,20
84,open,20
85,rain,19
86,taste,19
87,hold,19
88,swim,19
89,miss,18
90,feed,18
91,spell,17
92,push,17
93,run,17
94,tie,15
95,move,14
96,dance,14
97,laugh,14
98,kick,13
99,cook,13
100,chew,13
