rank,verb,frequency
1,be,312865
2,go,87254
3,do,61338
4,get,44969
5,want,42439
6,have,42317
7,think,32998
8,know,25018
9,see,20905
10,like,20160
11,say,19564
12,put,18751
13,come,12288
14,look,11883
15,make,10942
16,need,9430
17,eat,7699
18,play,7416
19,take,7134
20,find,6078
21,sit,5077
22,tell,4916
23,fall,4897
24,give,4773
25,remember,4339
26,can,3905
27,fit,3290
28,happen,3279
29,mean,3181
30,try,3149
31,will,2886
32,hear,2822
33,talk,2374
34,use,2279
35,hurt,2271
36,help,2257
37,bring,2216
38,open,2188
39,read,2105
40,show,2069
41,hold,2049
42,buy,2038
43,finish,2028
44,work,2007
45,wear,1994
46,love,1991
47,keep,1969
48,turn,1894
49,draw,1872
50,sing,1809
51,break,1788
52,watch,1778
53,leave,1645
54,throw,1595
55,sleep,1552
56,run,1549
57,start,1547
58,stay,1543
59,feel,1539
60,hide,1531
61,build,1520
62,move,1513
63,cry,1486
64,ask,1444
65,call,1428
66,pick,1428
67,drink,1419
68,stand,1402
69,live,1385
70,pull,1273
71,drive,1268
72,drop,1222
73,wait,1210
74,stop,1206
75,blow,1181
76,let,1179
77,wash,1177
78,pretend,1158
79,write,1152
80,walk,1123
81,wonder,1119
82,lose,1097
83,push,1095
84,would,1094
85,cut,1083
86,fix,1076
87,jump,1050
88,knock,1045
89,bet,1030
90,miss,995
91,pop,960
92,forget,896
93,cook,866
94,sound,859
95,guess,855
96,catch,824
97,wake,822
98,stick,809
99,count,789
100,ride,776
