rank,verb,frequency
1,be,180157
2,go,48557
3,do,34036
4,want,29981
5,have,25237
6,get,22968
7,know,21849
8,think,16835
9,say,14084
10,see,13383
11,like,12022
12,put,10316
13,come,8025
14,look,7852
15,make,7820
16,eat,7185
17,take,5692
18,play,4887
19,tell,4832
20,need,3882
21,give,3737
22,happen,3304
23,find,3173
24,sit,2745
25,hear,2710
26,mean,2682
27,fall,2514
28,remember,2473
29,try,2401
30,talk,2368
31,read,2002
32,can,1931
33,turn,1880
34,use,1812
35,bring,1716
36,help,1626
37,work,1605
38,call,1542
39,love,1503
40,hold,1471
41,leave,1399
42,show,1374
43,hurt,1371
44,feel,1354
45,ask,1349
46,stay,1345
47,run,1320
48,start,1244
49,throw,1230
50,wear,1204
51,open,1201
52,guess,1198
53,let,1189
54,buy,1151
55,pick,1147
56,walk,1138
57,live,1125
58,fit,1118
59,write,1116
60,keep,1108
61,drink,1082
62,will,1034
63,fix,1017
64,break,1015
65,watch,999
66,finish,990
67,wait,927
68,forget,922
69,sleep,921
70,draw,912
71,build,909
72,sing,909
73,cry,848
74,fly,839
75,push,832
76,move,826
77,stand,800
78,ride,779
79,drive,778
80,jump,761
81,stop,746
82,bet,734
83,pull,727
84,miss,711
85,catch,696
86,hit,671
87,sound,648
88,cut,627
89,wash,623
90,blow,590
91,taste,584
92,stick,581
93,lose,561
94,drop,548
95,wonder,536
96,learn,526
97,hide,518
98,understand,510
99,close,508
100,listen,491
