age_group,alpha,mse,n_utterances,n_pairs,n_unique_subjects,n_unique_verbs,status,scope,collection,annotation_scheme
overall,1.4499999999999995,5.031226936443339e-07,1607773,1081580,6834,2857,ok,eng_na,Eng-NA,spaCy: CHAT text
0-12mo,1.4199999999999995,5.99068547336273e-06,135499,89690,1116,913,ok,eng_na,Eng-NA,spaCy: CHAT text
12-24mo,1.4299999999999995,4.934276667951272e-07,326069,179678,2252,1191,ok,eng_na,Eng-NA,spaCy: CHAT text
24-36mo,1.4199999999999995,6.202760828543575e-07,507763,359064,3401,1576,ok,eng_na,Eng-NA,spaCy: CHAT text
36-48mo,1.4099999999999995,6.31635772727639e-07,254344,184614,2831,1327,ok,eng_na,Eng-NA,spaCy: CHAT text
48-60mo,1.4099999999999995,7.912362164508002e-07,143539,107932,2185,1158,ok,eng_na,Eng-NA,spaCy: CHAT text
60-72mo,1.4599999999999995,7.958052523722931e-07,117590,81305,1561,949,ok,eng_na,Eng-NA,spaCy: CHAT text
72-84mo,1.4599999999999995,1.496472332407834e-07,58898,40231,1003,695,ok,eng_na,Eng-NA,spaCy: CHAT text
84-96mo,1.4999999999999993,6.247684238336915e-07,64071,39066,949,723,ok,eng_na,Eng-NA,spaCy: CHAT text
