verb,subject,frequency,rank,total,proportion
be,that,4944,1,21358,0.23148234853450697
be,it,3989,2,21358,0.18676842400973873
be,this,2082,3,21358,0.09748103755033243
be,you,1704,4,21358,0.07978275119393202
be,he,1318,5,21358,0.061709897930517836
be,i,912,6,21358,0.04270062739956925
be,they,782,7,21358,0.03661391516059556
be,what,485,8,21358,0.022708118737709525
be,one,405,9,21358,0.01896244966757187
be,she,304,10,21358,0.014233542466523082
be,we,244,11,21358,0.011424290663919843
be,these,236,12,21358,0.011049723756906077
be,who,214,13,21358,0.010019664762618223
be,name,196,14,21358,0.00917688922183725
be,those,167,15,21358,0.007819084183912351
be,thing,159,16,21358,0.007444517276898586
be,elephant,155,17,21358,0.007257233823391703
be,day,72,18,21358,0.003371102163123888
be,number,71,19,21358,0.0033242812997471673
be,relative,56,20,21358,0.0026219683490963574
be,letter,47,21,21358,0.002200580578705871
be,bath,42,22,21358,0.001966476261822268
be,color,40,23,21358,0.0018728345350688266
be,+,37,24,21358,0.0017323719449386648
be,guy,37,25,21358,0.0017323719449386648
be,foot,36,26,21358,0.001685551081561944
be,chi,34,27,21358,0.0015919093548085027
be,cow,33,28,21358,0.001545088491431782
be,picture,32,29,21358,0.0014982676280550613
be,most,31,30,21358,0.0014514467646783407
be,calf,30,31,21358,0.00140462590130162
be,skin,30,32,21358,0.00140462590130162
be,some,29,33,21358,0.0013578050379248992
be,ross,29,34,21358,0.0013578050379248992
be,herd,28,35,21358,0.0013109841745481787
be,book,27,36,21358,0.001264163311171458
be,animal,25,37,21358,0.0011705215844180167
be,kind,24,38,21358,0.001123700721041296
be,egg,24,39,21358,0.001123700721041296
be,matter,23,40,21358,0.0010768798576645754
be,daddy,22,41,21358,0.0010300589942878547
be,boy,22,42,21358,0.0010300589942878547
be,game,21,43,21358,0.000983238130911134
be,bear,20,44,21358,0.0009364172675344133
be,room,20,45,21358,0.0009364172675344133
be,mom,19,46,21358,0.0008895964041576926
be,word,19,47,21358,0.0008895964041576926
