rank,verb,frequency
1,be,300154
2,go,84101
3,do,59849
4,have,47287
5,get,35854
6,think,35451
7,know,35446
8,see,29273
9,want,28211
10,say,23292
11,like,22956
12,wanna,21121
13,put,18427
14,look,14089
15,make,12506
16,come,11808
17,play,11703
18,eat,11355
19,need,9734
20,take,8862
21,tell,7635
22,happen,6472
23,try,5946
24,give,5533
25,find,5498
26,mean,5145
27,sit,4833
28,read,4688
29,remember,4400
30,fall,3961
31,help,3348
32,turn,3260
33,talk,3223
34,hear,3187
35,start,3183
36,use,3123
37,love,3014
38,can,2898
39,show,2787
40,fit,2774
41,work,2670
42,call,2603
43,bring,2499
44,hold,2478
45,pick,2347
46,guess,2275
47,open,2265
48,feel,2263
49,move,2058
50,ask,1996
51,stay,1987
52,wear,1978
53,keep,1942
54,build,1906
55,leave,1875
56,run,1831
57,let,1810
58,walk,1766
59,seem,1691
60,drink,1684
61,hurt,1667
62,throw,1656
63,sleep,1486
64,hit,1481
65,live,1465
66,fix,1464
67,will,1436
68,push,1424
69,watch,1417
70,buy,1416
71,stop,1416
72,finish,1411
73,write,1374
74,draw,1350
75,pull,1318
76,stand,1305
77,wash,1303
78,break,1297
79,cook,1287
80,jump,1278
81,sing,1273
82,blow,1255
83,bet,1251
84,drive,1247
85,fly,1232
86,wait,1220
87,sound,1205
88,recognize,1205
89,feed,1180
90,pop,1147
91,cry,1143
92,knock,1116
93,needta,1088
94,miss,1080
95,cut,1078
96,catch,1062
97,wonder,1058
98,pretend,1032
99,hafta,1000
100,drop,970
