rank,verb,frequency
1,be,27717
2,go,7684
3,do,5831
4,have,4657
5,know,4185
6,get,3606
7,think,3479
8,say,3117
9,see,2786
10,want,2198
11,like,1939
12,eat,1845
13,wanna,1734
14,come,1618
15,look,1607
16,make,1574
17,tell,1273
18,put,1245
19,take,1055
20,happen,989
21,play,852
22,mean,736
23,find,622
24,remember,616
25,need,576
26,give,553
27,try,531
28,talk,513
29,read,475
30,start,450
31,use,422
32,call,408
33,hear,380
34,can,374
35,fall,357
36,feel,317
37,bring,305
38,walk,301
39,ask,298
40,sit,295
41,fly,285
42,help,273
43,run,269
44,stay,268
45,turn,262
46,work,260
47,guess,259
48,love,256
49,buy,256
50,build,237
51,keep,223
52,leave,221
53,show,215
54,let,206
55,finish,205
56,watch,192
57,pick,187
58,wear,173
59,jump,169
60,move,168
61,sound,161
62,hold,157
63,forget,157
64,write,157
65,hit,156
66,sleep,154
67,cut,154
68,drive,154
69,will,150
70,wait,148
71,break,146
72,live,144
73,learn,138
74,drink,138
75,stop,138
76,hurt,135
77,grow,131
78,hafta,129
79,fix,127
80,cry,122
81,bet,121
82,wonder,121
83,wave,118
84,understand,117
85,fit,116
86,win,115
87,laugh,114
88,lose,114
89,useta,112
90,catch,112
91,lie,112
92,pretend,108
93,would,108
94,needta,108
95,draw,108
96,open,108
97,nibble,103
98,miss,101
99,stand,93
100,hadta,92
