rank,verb,frequency
1,be,3053
2,go,647
3,do,611
4,know,584
5,have,476
6,get,429
7,want,340
8,say,330
9,wanna,328
10,think,303
11,eat,200
12,write,197
13,see,189
14,like,174
15,make,132
16,come,128
17,tell,126
18,put,120
19,mean,113
20,look,111
21,read,100
22,take,87
23,need,80
24,give,67
25,ask,56
26,start,56
27,spell,55
28,try,53
29,help,51
30,love,49
31,sit,48
32,feel,43
33,remember,43
34,talk,43
35,miss,42
36,happen,42
37,use,42
38,call,41
39,hear,41
40,work,40
41,bring,39
42,hafta,37
43,sound,36
44,guess,35
45,leave,34
46,play,34
47,finish,30
48,cut,28
49,stop,26
50,can,26
51,find,25
52,move,25
53,pick,24
54,let,24
55,keep,24
56,live,22
57,forget,21
58,learn,20
59,walk,20
60,watch,18
61,stay,18
62,buy,18
63,wait,17
64,hold,17
65,send,17
66,become,16
67,open,16
68,useta,15
69,needta,15
70,sing,15
71,bet,14
72,forgot,14
73,hadta,14
74,believe,14
75,turn,14
76,win,14
77,understand,13
78,fix,13
79,show,13
80,will,12
81,s,12
82,taste,12
83,sleep,12
84,figure,11
85,drink,11
86,bother,11
87,m,10
88,hope,10
89,sign,10
90,throw,10
91,tap,10
92,fall,9
93,end,9
94,pay,9
95,mind,8
96,catch,8
97,fit,8
98,teach,8
99,save,8
100,act,8
