rank,average_proportion,num_verbs,sd_proportion
1,0.3924262310305342,100,0.15861425323258802
2,0.17672675518888845,100,0.0677786470954496
3,0.10213279021595598,100,0.04474138885709053
4,0.06290829381302604,99,0.025836965200656946
5,0.04121286875413587,99,0.017502575564899765
6,0.03230311060384151,99,0.015551143857112081
7,0.024566031348460558,98,0.012058910723962708
8,0.017977160308695388,98,0.00971541592248943
9,0.013955555815306352,96,0.007220318864932927
10,0.011058194421196108,96,0.0055642121094463416
11,0.009103466198407595,96,0.004564777920013787
12,0.007617736544944222,96,0.003857251575759593
13,0.006606205968572653,96,0.0034167851533153304
14,0.005707770565027209,96,0.0028833426729858616
15,0.00523783223053372,95,0.0025521465344111745
16,0.0048902296327507505,94,0.0025068328353564664
17,0.004373050625263276,93,0.002393705393745396
18,0.003958904020247694,93,0.0020637155819048835
19,0.0035999109882532514,92,0.0016913927358916318
20,0.00346215590890251,92,0.0017113559870226436
21,0.003346895590809142,92,0.0016750907626012777
22,0.0032362372326930683,92,0.001686590211911943
23,0.0030720507193862613,91,0.001649574710505705
24,0.0030379120800079536,91,0.0016516283982239532
25,0.0028756666808785907,90,0.0015469553877985728
26,0.0028093227539957707,90,0.001470320607163879
27,0.0027193935390682207,87,0.001437884267659648
28,0.0026535520399602838,86,0.001404355440670289
29,0.0025684845511792253,84,0.0013669447520949392
30,0.0025383897627396174,84,0.0013442165335482402
31,0.002498767182818997,83,0.0013506254677219443
32,0.0024461989357553848,83,0.0012983996470944984
33,0.002392928256112576,79,0.0012827117285074848
34,0.002380311529307283,78,0.0012883039562578997
35,0.0023524682709866354,76,0.0013017480952608775
36,0.002340347879330558,76,0.001314743510434127
37,0.002298784561875363,75,0.0012896757568381535
38,0.0022419722792804578,73,0.0012456957426566842
39,0.0022000983961913815,71,0.0011933882722008971
40,0.002148384300635962,68,0.001187641997469276
41,0.0020595809409892744,65,0.001165865042458581
42,0.0020417137700037453,64,0.001185210891453498
43,0.0020239593136959977,62,0.0012011553655439783
44,0.0019264428210117664,58,0.0011524401679385606
45,0.001903277196343067,55,0.0011303693195114082
46,0.0019192264820180286,53,0.0011299793095570132
47,0.0018891891371377845,51,0.0011677601757671425
48,0.0018831761065847459,51,0.0011695179398841747
49,0.0017506348858443077,48,0.0010578006378505534
50,0.0015952795504601382,44,0.0009399308467839728
51,0.0015952795504601382,44,0.0009399308467839728
52,0.0015893209091271837,44,0.0009460908419006807
53,0.0015295136359263013,42,0.0009108202511241484
54,0.0015348746410667469,41,0.0009217478253671911
55,0.0015348746410667469,41,0.0009217478253671911
56,0.001479047675773833,40,0.0008854297616993757
57,0.0013821152591632659,36,0.0008712282750480006
58,0.0013236686612599943,34,0.0008761850837027651
59,0.0012923699813861503,33,0.0008851816160469339
60,0.001276150808904117,32,0.0008950448541610979
61,0.001276150808904117,32,0.0008950448541610979
62,0.0012324921193090778,31,0.0009060562866465824
63,0.0012324921193090778,31,0.0009060562866465824
64,0.0011710278910047496,30,0.000859755704681807
65,0.0011704928455258839,30,0.0008601424901124448
66,0.0011286122765265666,29,0.0008915887709455047
67,0.001066305778491486,28,0.0008428458734696208
68,0.000987626966069332,27,0.0008159187013554832
69,0.0009762690194691481,27,0.0008158090646552628
70,0.0009762690194691481,27,0.0008158090646552628
71,0.0009749528572253549,26,0.0008362947524080731
72,0.0009749528572253549,26,0.0008362947524080731
73,0.0009690761591028946,26,0.0008390181390018119
74,0.0009304213465787354,26,0.00081185225624366
75,0.0009279455475145875,26,0.0008132668127065082
76,0.0009364632168708739,25,0.0008014595292583935
77,0.0009364632168708739,25,0.0008014595292583935
78,0.000935821162296235,25,0.0008018722680211783
79,0.000935821162296235,25,0.0008018722680211783
80,0.000935821162296235,25,0.0008018722680211783
81,0.000935821162296235,25,0.0008018722680211783
82,0.0008464905562723009,23,0.000760682267417858
83,0.0006667640123946871,21,0.000543765949472054
84,0.0006667640123946871,21,0.000543765949472054
85,0.0006667640123946871,21,0.000543765949472054
86,0.0006667640123946871,21,0.000543765949472054
87,0.0006636987373628848,21,0.0005452249222762527
88,0.000662934386678791,21,0.000545598690791978
89,0.000662934386678791,21,0.000545598690791978
90,0.0006621700359946971,21,0.000545994674570515
91,0.0006621700359946971,21,0.000545994674570515
92,0.000564044941993907,20,0.00031774032617419703
93,0.000564044941993907,20,0.00031774032617419703
94,0.000549514282301957,20,0.00030946084211120917
95,0.0005426771429610571,20,0.00031102660355035433
96,0.0005426771429610571,20,0.00031102660355035433
97,0.0005379335327312508,20,0.00031393172502955705
98,0.0005005391280773396,19,0.000260220726094618
99,0.0005005391280773396,19,0.000260220726094618
100,0.0005005391280773396,19,0.000260220726094618
101,0.000499694319426499,19,0.0002606964924658863
102,0.000499694319426499,19,0.0002606964924658863
103,0.000499694319426499,19,0.0002606964924658863
104,0.0004988495107756584,19,0.00026122330819008087
105,0.0004988495107756584,19,0.00026122330819008087
106,0.0004988495107756584,19,0.00026122330819008087
107,0.0004988495107756584,19,0.00026122330819008087
108,0.0004954615752141928,19,0.0002631752809283917
109,0.0004954615752141928,19,0.0002631752809283917
110,0.0004954615752141928,19,0.0002631752809283917
111,0.0004946167665633522,19,0.00026373710846299987
112,0.0004946167665633522,19,0.00026373710846299987
113,0.0004590408627205766,17,0.0002459206486436042
114,0.0004590408627205766,17,0.0002459206486436042
115,0.0004590408627205766,17,0.0002459206486436042
116,0.0004590408627205766,17,0.0002459206486436042
117,0.0004590408627205766,17,0.0002459206486436042
118,0.0004491992148350546,17,0.0002544124819840646
119,0.0004482550169311739,17,0.00025494711891417023
120,0.00044021132358893893,17,0.0002583562160256073
121,0.0004462837079856318,16,0.00026557324939710807
122,0.0004462837079856318,16,0.00026557324939710807
123,0.0004462837079856318,16,0.00026557324939710807
124,0.0004462837079856318,16,0.00026557324939710807
125,0.0004462837079856318,16,0.00026557324939710807
126,0.0004422605345063914,16,0.00026805984073135196
127,0.00042409720989145384,16,0.0002678616656660005
128,0.00042309399961858066,16,0.00026836712922979444
129,0.00041816769710419587,16,0.0002711867278675512
130,0.00041816769710419587,16,0.0002711867278675512
131,0.00041816769710419587,16,0.0002711867278675512
132,0.00041816769710419587,16,0.0002711867278675512
133,0.00041816769710419587,16,0.0002711867278675512
134,0.00041816769710419587,16,0.0002711867278675512
