dataset,arm,be_filter,age_group,alpha,mse,n_utterances,n_pairs,n_unique_subjects,n_unique_verbs,status,scope,collection,annotation_scheme
matched,ud_strict,all,overall,1.4999999999999991,4.020316487294472e-07,2728212,1303637,7272,3027,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,all,0-12mo,1.479999999999999,1.0050998899789696e-06,69941,24486,618,589,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,all,12-24mo,1.489999999999999,2.983464503863198e-07,356114,130622,1913,1134,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,all,24-36mo,1.4999999999999991,4.200572576624893e-07,1226011,583031,4460,2048,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,all,36-48mo,1.4199999999999997,1.1161518445645483e-06,555676,289193,3445,1654,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,all,48-60mo,1.4299999999999995,1.7936969769939691e-06,358251,193492,2971,1649,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,all,60-72mo,1.3699999999999994,2.0546263494744087e-06,91419,47695,1113,762,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,all,72-84mo,1.3299999999999994,1.04239986048138e-06,31229,15968,557,473,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,all,84-96mo,1.3599999999999994,1.9352753613457222e-06,39571,19150,647,586,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,no_be,overall,1.5199999999999994,6.783641625827186e-07,2728212,1215675,6286,3026,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,no_be,0-12mo,1.5599999999999994,2.807536447599715e-07,69941,23255,496,588,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,no_be,12-24mo,1.5399999999999994,4.933904453132636e-07,356114,121153,1525,1133,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,no_be,24-36mo,1.5199999999999994,8.110110843362127e-07,1226011,539316,3728,2047,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,no_be,36-48mo,1.4399999999999995,2.198092041273504e-06,555676,270387,2910,1653,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,no_be,48-60mo,1.4599999999999995,3.277235122326183e-06,358251,182952,2559,1648,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,no_be,60-72mo,1.4099999999999997,4.804438847281024e-06,91419,45186,933,761,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,no_be,72-84mo,1.3799999999999994,3.79131634042521e-06,31229,15145,443,472,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_strict,no_be,84-96mo,1.3999999999999997,4.700078141428224e-06,39571,18281,548,585,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: strict rule
matched,ud_copula,all,overall,1.5099999999999991,2.604192240409111e-07,2728212,1758073,8518,3031,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,all,0-12mo,1.5299999999999994,1.4287504324729554e-07,69941,32518,773,589,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,all,12-24mo,1.5199999999999994,1.482146795740625e-07,356114,181035,2289,1135,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,all,24-36mo,1.5099999999999991,2.9991512424783024e-07,1226011,795223,5198,2048,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,all,36-48mo,1.4399999999999995,7.326200011576987e-07,555676,387257,4051,1656,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,all,48-60mo,1.4499999999999995,9.889473634771306e-07,358251,253164,3581,1652,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,all,60-72mo,1.3999999999999997,1.2517876766945075e-06,91419,62776,1420,762,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,all,72-84mo,1.3899999999999997,8.014706571271428e-07,31229,20792,701,473,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,all,84-96mo,1.4099999999999997,1.1140311300035617e-06,39571,25308,864,586,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,no_be,overall,1.5199999999999994,6.770116779968836e-07,2728212,1216449,6292,3030,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,no_be,0-12mo,1.5599999999999994,2.782774637239199e-07,69941,23276,497,588,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,no_be,12-24mo,1.5399999999999994,4.949267855472161e-07,356114,121230,1532,1134,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,no_be,24-36mo,1.5199999999999994,8.097175022736469e-07,1226011,539656,3735,2047,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,no_be,36-48mo,1.4399999999999995,2.196874260116299e-06,555676,270536,2914,1655,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,no_be,48-60mo,1.4599999999999995,3.273794424846875e-06,358251,183096,2561,1651,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,no_be,60-72mo,1.4099999999999997,4.822921545322615e-06,91419,45212,934,761,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,no_be,72-84mo,1.3799999999999994,3.7791160979495686e-06,31229,15156,443,472,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,ud_copula,no_be,84-96mo,1.3999999999999997,4.700550007495282e-06,39571,18287,548,585,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,UD: includes copulas
matched,spacy_chat,all,overall,1.479999999999999,3.394328987603313e-07,2728212,1886034,9186,3357,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy: CHAT text
matched,spacy_chat,all,0-12mo,1.479999999999999,4.5291814096082084e-08,69941,36376,821,620,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy: CHAT text
matched,spacy_chat,all,12-24mo,1.4599999999999995,1.762954000896443e-07,356114,202207,2404,1197,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy: CHAT text
matched,spacy_chat,all,24-36mo,1.489999999999999,3.394345298672223e-07,1226011,852322,5455,2163,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy: CHAT text
matched,spacy_chat,all,36-48mo,1.4099999999999997,9.387074615400514e-07,555676,412677,4195,1801,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy: CHAT text
matched,spacy_chat,all,48-60mo,1.4199999999999997,1.1757461725345426e-06,358251,267098,3725,1751,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy: CHAT text
matched,spacy_chat,all,60-72mo,1.3899999999999997,1.5670264285641046e-06,91419,66281,1433,816,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy: CHAT text
matched,spacy_chat,all,72-84mo,1.3799999999999994,1.320507507094723e-06,31229,22252,677,496,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy: CHAT text
matched,spacy_chat,all,84-96mo,1.3999999999999997,8.66958502266689e-07,39571,26821,882,621,ok,broader_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy: CHAT text
