rank,verb,frequency
1,go,9073
2,want,7322
3,be,4955
4,do,4483
5,get,3560
6,have,3378
7,say,2752
8,know,2437
9,see,2214
10,like,2154
11,put,2108
12,think,1741
13,come,1069
14,make,913
15,look,879
16,play,786
17,take,761
18,eat,740
19,need,567
20,find,542
21,sit,504
22,turn,457
23,give,447
24,hear,419
25,tell,416
26,try,415
27,fall,397
28,read,377
29,throw,369
30,love,336
31,talk,313
32,open,272
33,help,247
34,hold,240
35,push,233
36,mean,218
37,fit,206
38,happen,203
39,draw,203
40,stay,200
41,can,192
42,bring,190
43,fix,190
44,leave,189
45,work,187
46,hurt,185
47,remember,185
48,feel,183
49,show,177
50,walk,175
51,drink,175
52,pick,175
53,call,174
54,ride,173
55,sing,172
56,let,169
57,use,166
58,keep,156
59,cry,154
60,move,153
61,pull,147
62,run,145
63,write,143
64,stop,141
65,build,140
66,close,136
67,break,131
68,wear,129
69,touch,125
70,guess,124
71,stand,122
72,roll,122
73,miss,114
74,blow,114
75,will,108
76,sound,104
77,sleep,103
78,drop,103
79,smell,102
80,bite,96
81,live,96
82,catch,94
83,jump,94
84,dance,91
85,bet,89
86,finish,87
87,understand,86
88,climb,85
89,hide,84
90,forget,83
91,start,81
92,wash,81
93,hit,81
94,wake,77
95,ask,76
96,fly,75
97,watch,75
98,feed,74
99,wait,72
100,bounce,68
