z,mse
0.1,0.00010002529484690777
0.11,9.996529322634525e-05
0.12,9.990203047428941e-05
0.13,9.983533156718341e-05
0.13999999999999999,9.976501291814666e-05
0.14999999999999997,9.969088204021225e-05
0.15999999999999998,9.961273720455029e-05
0.16999999999999998,9.953036709455905e-05
0.17999999999999997,9.944355045683368e-05
0.18999999999999995,9.935205575016267e-05
0.19999999999999996,9.925564079385286e-05
0.20999999999999996,9.915405241684613e-05
0.21999999999999995,9.904702610926356e-05
0.22999999999999995,9.893428567820086e-05
0.23999999999999994,9.881554290979201e-05
0.24999999999999992,9.869049723977338e-05
0.2599999999999999,9.855883543499487e-05
0.2699999999999999,9.842023128856478e-05
0.2799999999999999,9.827434533155278e-05
0.2899999999999999,9.812082456443472e-05
0.29999999999999993,9.79593022117248e-05
0.30999999999999994,9.778939750351416e-05
0.3199999999999999,9.761071548791704e-05
0.32999999999999985,9.742284687870843e-05
0.33999999999999986,9.722536794272982e-05
0.34999999999999987,9.701784043192896e-05
0.3599999999999999,9.679981156518854e-05
0.3699999999999999,9.657081406538481e-05
0.3799999999999999,9.633036625739055e-05
0.3899999999999999,9.607797223300333e-05
0.3999999999999998,9.581312208902406e-05
0.4099999999999998,9.553529224493378e-05
0.4199999999999998,9.524394584681677e-05
0.4299999999999998,9.493853326433173e-05
0.43999999999999984,9.461849268765934e-05
0.44999999999999984,9.42832508314231e-05
0.45999999999999985,9.393222375259449e-05
0.46999999999999986,9.356481778934606e-05
0.47999999999999976,9.318043062769344e-05
0.48999999999999977,9.277845250256231e-05
0.4999999999999998,9.235826753962347e-05
0.5099999999999998,9.191925524384365e-05
0.5199999999999998,9.146079214019739e-05
0.5299999999999998,9.098225357136645e-05
0.5399999999999998,9.048301565650763e-05
0.5499999999999998,8.996245741429325e-05
0.5599999999999997,8.941996305241304e-05
0.5699999999999997,8.885492442456684e-05
0.5799999999999997,8.826674365467211e-05
0.5899999999999997,8.765483592655315e-05
0.5999999999999998,8.701863243577866e-05
0.6099999999999998,8.63575834985643e-05
0.6199999999999998,8.567116181077118e-05
0.6299999999999997,8.495886584801387e-05
0.6399999999999997,8.422022339575742e-05
0.6499999999999997,8.345479519604774e-05
0.6599999999999997,8.266217869520303e-05
0.6699999999999997,8.184201187441827e-05
0.6799999999999997,8.099397714283467e-05
0.6899999999999997,8.011780527021877e-05
0.6999999999999996,7.921327933403945e-05
0.7099999999999996,7.828023865343671e-05
0.7199999999999996,7.731858268041586e-05
0.7299999999999996,7.63282748165912e-05
0.7399999999999997,7.530934612201375e-05
0.7499999999999997,7.426189888108148e-05
0.7599999999999997,7.318610998930197e-05
0.7699999999999997,7.208223412380204e-05
0.7799999999999997,7.095060666000259e-05
0.7899999999999996,6.979164629683835e-05
0.7999999999999996,6.860585735334347e-05
0.8099999999999996,6.739383170037145e-05
0.8199999999999996,6.615625029269906e-05
0.8299999999999996,6.489388426879221e-05
0.8399999999999996,6.360759558809679e-05
0.8499999999999996,6.229833717885064e-05
0.8599999999999995,6.096715257308312e-05
0.8699999999999996,5.961517500964701e-05
0.8799999999999996,5.824362599077668e-05
0.8899999999999996,5.6853813282733076e-05
0.8999999999999996,5.544712835652459e-05
0.9099999999999996,5.4025043270402505e-05
0.9199999999999996,5.2589107001748405e-05
0.9299999999999996,5.11409412420002e-05
0.9399999999999996,4.9682235674315285e-05
0.9499999999999995,4.821474275963772e-05
0.9599999999999995,4.674027206262466e-05
0.9699999999999995,4.526068415438867e-05
0.9799999999999995,4.377788413413606e-05
0.9899999999999995,4.22938148164246e-05
0.9999999999999996,4.0810449634850224e-05
1.0099999999999996,3.932978531642121e-05
1.0199999999999996,3.7853834383626195e-05
1.0299999999999996,3.638461754320282e-05
1.0399999999999996,3.49241560218269e-05
1.0499999999999996,3.347446390935181e-05
1.0599999999999996,3.203754056982976e-05
1.0699999999999996,3.0615363179351946e-05
1.0799999999999996,2.9209879447785057e-05
1.0899999999999996,2.782300057879684e-05
1.0999999999999996,2.6456594519213325e-05
1.1099999999999997,2.5112479544800655e-05
1.1199999999999997,2.3792418225096487e-05
1.1299999999999997,2.249811180501416e-05
1.1399999999999997,2.12311950356996e-05
1.1499999999999995,1.9993231481633957e-05
1.1599999999999995,1.8785709325334706e-05
1.1699999999999995,1.761003768531805e-05
1.1799999999999995,1.6467543457326836e-05
1.1899999999999995,1.5359468683298253e-05
1.1999999999999995,1.4286968447213816e-05
1.2099999999999995,1.3251109291918381e-05
1.2199999999999995,1.2252868146274276e-05
1.2299999999999995,1.1293131747682064e-05
1.2399999999999995,1.0372696541094727e-05
1.2499999999999996,9.492269032205542e-06
1.2599999999999996,8.652466569522966e-06
1.2699999999999996,7.853818527568495e-06
1.2799999999999996,7.096767861446397e-06
1.2899999999999996,6.381673001529089e-06
1.2999999999999994,5.708810055964322e-06
1.3099999999999994,5.0783752881157535e-06
1.3199999999999994,4.490487835872206e-06
1.3299999999999994,3.945192639966215e-06
1.3399999999999994,3.4424635489981085e-06
1.3499999999999994,2.9822065697256006e-06
1.3599999999999994,2.5642632323133427e-06
1.3699999999999994,2.1884140416019093e-06
1.3799999999999994,1.8543819870099075e-06
1.3899999999999995,1.5618360853900281e-06
1.3999999999999995,1.3103949329807441e-06
1.4099999999999995,1.099630244496949e-06
1.4199999999999995,9.290703593515004e-07
1.4299999999999995,7.982036969671809e-07
1.4399999999999995,7.064821450976995e-07
1.4499999999999995,6.533243670045754e-07
