z,mse
0.1,0.0001659030744375234
0.11,0.00016573702257690684
0.12,0.00016556314238478018
0.13,0.00016538107195596948
0.13999999999999999,0.00016519043480708
0.14999999999999997,0.0001649908394849235
0.15999999999999998,0.00016478187918298755
0.16999999999999998,0.00016456313136824013
0.17999999999999997,0.00016433415742077471
0.18999999999999995,0.0001640945022890152
0.19999999999999996,0.00016384369416342671
0.20999999999999996,0.0001635812441719185
0.21999999999999995,0.00016330664610036475
0.22999999999999995,0.00016301937614192943
0.23999999999999994,0.00016271889267913537
0.24999999999999992,0.0001624046361028891
0.2599999999999999,0.00016207602867294286
0.2699999999999999,0.00016173247442454776
0.2799999999999999,0.00016137335912633092
0.2899999999999999,0.00016099805029469994
0.29999999999999993,0.00016060589727035044
0.30999999999999994,0.00016019623136271708
0.3199999999999999,0.0001597683660684593
0.32999999999999985,0.00015932159737031828
0.33999999999999986,0.00015885520412289966
0.34999999999999987,0.00015836844853214286
0.3599999999999999,0.00015786057673540727
0.3699999999999999,0.00015733081948925482
0.3799999999999999,0.00015677839297210624
0.3899999999999999,0.00015620249970901742
0.3999999999999998,0.00015560232962582858
0.4099999999999998,0.00015497706123989842
0.4199999999999998,0.0001543258629945256
0.4299999999999998,0.00015364789474398057
0.43999999999999984,0.0001529423093958173
0.44999999999999984,0.0001522082547167877
0.45999999999999985,0.00015144487530825143
0.46999999999999986,0.00015065131475643315
0.47999999999999976,0.00014982671796224287
0.48999999999999977,0.0001489702336546128
0.4999999999999998,0.00014808101709043282
0.5099999999999998,0.000147158232943162
0.5199999999999998,0.0001462010583810654
0.5299999999999998,0.00014520868633476107
0.5399999999999998,0.00014418032895236396
0.5499999999999998,0.00014311522123898444
0.5599999999999997,0.00014201262487566964
0.5699999999999997,0.00014087183221108744
0.5799999999999997,0.00013969217041733136
0.5899999999999997,0.00013847300579919683
0.5999999999999998,0.0001372137482441429
0.6099999999999998,0.00013591385579793112
0.6199999999999998,0.00013457283934863732
0.6299999999999997,0.00013319026739938442
0.6399999999999997,0.0001317657709077699
0.6499999999999997,0.00013029904816758278
0.6599999999999997,0.00012878986970605406
0.6699999999999997,0.00012723808316759616
0.6799999999999997,0.00012564361815278646
0.6899999999999997,0.00012400649097929015
0.6999999999999996,0.0001223268093295181
0.7099999999999996,0.00012060477674813684
0.7199999999999996,0.00011884069695111064
0.7299999999999996,0.00011703497790682093
0.7399999999999997,0.00011518813564899792
0.7499999999999997,0.00011330079778076543
0.7599999999999997,0.0001113737066290714
0.7699999999999997,0.00010940772200918777
0.7799999999999997,0.00010740382355984245
0.7899999999999996,0.00010536311261091658
0.7999999999999996,0.00010328681354751661
0.8099999999999996,0.00010117627463662583
0.8199999999999996,9.903296828544825e-05
0.8299999999999996,9.685849070398465e-05
0.8399999999999996,9.465456094829212e-05
0.8499999999999996,9.242301932526931e-05
