z,mse
0.1,3.066243051148254e-05
0.11,3.065512859114336e-05
0.12,3.064733235587036e-05
0.13,3.063900843888625e-05
0.13999999999999999,3.0630121327715795e-05
0.14999999999999997,3.062063323876425e-05
0.15999999999999998,3.061050398600701e-05
0.16999999999999998,3.0599690843686615e-05
0.17999999999999997,3.0588148402936186e-05
0.18999999999999995,3.057582842227433e-05
0.19999999999999996,3.0562679671948866e-05
0.20999999999999996,3.0548647772141604e-05
0.21999999999999995,3.05336750250894e-05
0.22999999999999995,3.0517700241223275e-05
0.23999999999999994,3.0500658559482185e-05
0.24999999999999992,3.0482481262018874e-05
0.2599999999999999,3.0463095583584663e-05
0.2699999999999999,3.0442424515956168e-05
0.2799999999999999,3.0420386607854278e-05
0.2899999999999999,3.039689576089965e-05
0.29999999999999993,3.0371861022255455e-05
0.30999999999999994,3.0345186374723422e-05
0.3199999999999999,3.0316770525186508e-05
0.32999999999999985,3.0286506692429816e-05
0.33999999999999986,3.0254282395522004e-05
0.34999999999999987,3.0219979244102e-05
0.3599999999999999,3.0183472732090712e-05
0.3699999999999999,3.0144632036535015e-05
0.3799999999999999,3.0103319823491065e-05
0.3899999999999999,3.005939206306503e-05
0.3999999999999998,3.0012697855952783e-05
0.4099999999999998,2.9963079274052784e-05
0.4199999999999998,2.9910371217969067e-05
0.4299999999999998,2.9854401294470587e-05
0.43999999999999984,2.979498971722887e-05
0.44999999999999984,2.9731949234413837e-05
0.45999999999999985,2.9665085086985626e-05
0.46999999999999986,2.9594195001774793e-05
0.47999999999999976,2.9519069223689135e-05
0.48999999999999977,2.9439490591619477e-05
0.4999999999999998,2.9355234662830647e-05
0.5099999999999998,2.9266069890815643e-05
0.5199999999999998,2.9171757861747614e-05
0.5299999999999998,2.907205359478525e-05
0.5399999999999998,2.8966705911557202e-05
0.5499999999999998,2.8855457880166268e-05
0.5599999999999997,2.873804733900237e-05
0.5699999999999997,2.861420750552528e-05
0.5799999999999997,2.8483667674963885e-05
0.5899999999999997,2.834615401356747e-05
0.5999999999999998,2.820139045062666e-05
0.6099999999999998,2.8049099672946975e-05
0.6199999999999998,2.7889004224797873e-05
0.6299999999999997,2.772082771556608e-05
0.6399999999999997,2.7544296136408645e-05
0.6499999999999997,2.7359139286122875e-05
0.6599999999999997,2.7165092305226066e-05
0.6699999999999997,2.6961897315867638e-05
