rank,verb,frequency
1,do,1685
2,go,1638
3,have,1176
4,get,1046
5,know,1025
6,think,748
7,say,677
8,want,597
9,see,553
10,wanna,540
11,like,532
12,put,411
13,eat,366
14,make,362
15,tell,306
16,look,298
17,come,295
18,play,246
19,write,220
20,take,185
21,happen,181
22,remember,165
23,mean,154
24,give,149
25,need,140
26,read,140
27,ask,105
28,talk,105
29,try,96
30,start,91
31,hear,90
32,find,87
33,can,87
34,help,86
35,sit,84
36,show,83
37,run,78
38,use,77
39,call,76
40,work,73
41,watch,73
42,love,71
43,live,71
44,bring,70
45,sound,69
46,guess,69
47,spell,63
48,sing,61
49,feel,58
50,fall,58
51,hold,58
52,turn,58
53,finish,57
54,leave,56
55,move,55
56,win,55
57,hafta,52
58,walk,52
59,buy,52
60,pick,51
61,miss,49
62,stand,49
63,cut,46
64,let,45
65,keep,42
66,needta,40
67,jump,39
68,bet,36
69,stay,35
70,ride,34
71,understand,33
72,forget,33
73,lie,32
74,useta,32
75,will,31
76,drink,31
77,sleep,31
78,learn,30
79,stop,29
80,draw,28
81,wait,28
82,wonder,28
83,fight,28
84,climb,27
85,fix,26
86,open,26
87,taste,26
88,fit,25
89,hurt,25
90,stick,24
91,kick,24
92,kneel,23
93,forgot,22
94,cook,22
95,listen,21
96,fly,21
97,pull,21
98,stretch,21
99,cry,20
100,teach,19
