speaker_role,utterance_count,included_in_cds
Adult,46719,True
Brother,19949,True
Caretaker,24,True
Child,80994,False
Doctor,5,True
Father,1149,False
Father,308377,True
Friend,6852,True
Girl,1,True
Grandfather,3524,True
Grandmother,5,False
Grandmother,53424,True
Investigator,11,False
Investigator,777341,True
Male,10,True
Media,1040,False
Mother,4328,False
Mother,3312621,True
Narrator,1534,True
Other,6294,False
Participant,837,False
Participant,577034,True
Playmate,1962,True
Relative,4866,True
Sibling,33,False
Sibling,13422,True
Sister,8,False
Sister,40969,True
Speaker,25958,False
Student,292,True
Target_Child,2861065,False
Teacher,17286,True
Teenager,17,True
Uncertain,2,False
Unidentified,167,False
Unidentified,5140,True
Visitor,3656,True
