age_group,age_min_mo,age_max_mo,z,mse,n_utterances,n_pairs,n_unique_verbs,n_unique_subjects
0-12mo,0,12,1.4199999999999995,2.601216414522385e-06,166385,118929,1176,1629
12-24mo,12,24,1.3899999999999995,3.664154213921099e-07,500683,310151,1821,3752
24-36mo,24,36,1.4599999999999995,3.3034342787793755e-07,1399876,997455,2773,6732
36-48mo,36,48,1.3999999999999995,8.33934927013625e-07,512741,395375,2050,4577
48-60mo,48,60,1.3999999999999995,1.1937996677877636e-06,211915,166322,1525,2953
60-72mo,60,72,1.4499999999999995,7.037277399543036e-07,118618,86211,966,1525
72-84mo,72,84,1.5299999999999994,2.686963703591117e-07,44490,30417,534,653
84-96mo,84,96,1.5099999999999993,6.235161020710525e-07,58895,38512,642,818
