subject_lemma,verb_lemma
it,be
i,believe
birthday,be
i,be
that,be
she,be
she,turn
you,know
recorder,be
she,do
you,have
you,hear
you,want
i,echo
people,have
you,do
she,tell
she,have
you,have
you,have
you,write
you,wanna
you,wanna
it,look
it,write
we,do
we,look
investigator,let
you,look
you,wanna
it,be
what,be
it,be
you,wanna
you,put
you,think
kitty,think
you,want
i,put
you,give
that,be
that,be
you,have
you,want
birdie,talk
birdie,say
they,go
what,go
bird,go
what,go
what,go
you,want
you,go
it,be
you,have
bird,eat
bird,eat
he,give
you,think
birdie,like
we,have
that,birdie
you,put
he,try
that,make
you,think
this,be
i,know
what,happen
what,happen
you,think
your,like
she,be
she,be
you,put
you,go
we,play
i,bet
you,bet
what,be
that,be
that,be
baby,be
who,be
that,be
who,be
that,be
that,be
what,be
name,be
that,be
name,be
that,be
that,be
you,do
you,be
you,be
this,be
that,be
it,be
one,be
that,be
that,try
bird,think
i,think
porch,be
they,have
i,think
they,look
one,be
that,be
you,know
that,be
i,think
it,be
daddy,be
that,be
i,see
what,be
light,be
book,have
that,have
he,go
i,think
i,scare
that,be
she,get
bird,want
you,think
we,let
birdie,come
he,have
birdie,eat
you,give
that,be
stripey,like
i,know
that,be
i,think
bird,have
we,know
you,wanna
i,think
birdie,be
it,make
i,think
bird,fly
you,see
he,eat
bird,do
black+bird,come
that,be
bird,go
he,nip
bird,be
bird,be
you,yawn
you,yawn
you,be
you,go
eye,be
this,be
that,be
that,be
that,be
that,be
that,be
that,be
that,be
it,be
you,eat
that,be
birdie,come
they,be
that,be
they,come
it,be
that,be
you,be
investigator,bring
these,be
that,be
that,be
those,be
that,be
you,be
what,swim
what,swim
chicken,catch
what,be
who,go
duck,eat
what,happen
that,be
duck,be
you,know
this,be
you,know
it,be
you,bounce
you,hit
i,see
you,do
you,do
you,do
you,go
you,go
duck,come
it,be
they,make
noise,do
what,happen
he,fall
i,be
i,think
you,have
we,have
you,be
yours,be
it,be
it,be
i,think
they,be
that,be
that,mean
it,squeak
that,be
what,be
that,be
what,be
that,be
time,have
it,be
you,know
those,be
it,be
what,be
that,be
that,be
they,do
they,go
it,be
it,be
grandma,have
we,do
you,see
what,happen
you,tell
child,knock
what,happen
what,happen
they,push
they,go
i,go
you,go
that,be
they,have
xxx,come
you,dance
us,see
what,be
that,be
carleton,carry
cowboy,wear
those,be
those,be
you,have
which,be
you,go
it,be
that,be
what,be
that,be
what,be
that,be
it,be
you,do
you,sit
that,be
that,be
you,like
that,be
that,be
they,be
we,have
sara,have
investigator,have
sara,get
she,be
what,be
that,be
you,have
they,be
daddy,get
we,put
it,use
you,see
it,be
you,know
that,be
it,be
daddy,show
you,remember
it,be
it,be
it,come
it,be
that,be
what,be
that,be
little,be
that,be
it,be
what,be
that,be
that,be
it,be
it,tell
sign,tell
they,go
they,go
that,tell
they,go
you,see
you,be
you,make
all,squeak
that,be
it,be
it,be
that,be
it,be
you,know
this,be
this,be
bee,be
you,see
they,come
that,be
that,be
you,have
that,be
hedgehog,make
you,tell
you,know
duck,say
duck,fly
it,go
i,think
it,come
he,be
he,fall
bird,be
that,be
you,know
that,be
that,be
it,be
that,be
they,fly
you,want
he,go
it,come
elephant,do
he,be
you,want
that,feel
he,be
you,bring
you,write
it,be
i,have
what,be
that,be
you,make
you,do
you,go
you,be
you,get
you,wanna
you,be
you,get
you,wanna
you,have
you,wanna
you,bring
i,think
book,be
you,think
it,be
i,think
it,be
you,go
we,find
we,find
i,go
book,be
that,be
that,be
that,be
that,be
we,read
that,be
that,be
you,like
you,have
that,be
you,have
you,have
you,pick
you,like
we,look
you,get
you,show
child,need
you,do
you,do
they,get
you,carry
it,be
it,be
that,be
that,be
you,get
