subject_lemma,verb_lemma
you,know
kid,fight
they,hit
he,spank
he,give
that,be
you,be
she,do
she,swallow
what,happen
she,hadta
that,be
you,do
you,do
it,gooder
you,do
she,do
you,do
you,paint
you,paint
sister,do
you,do
they,be
you,spill
she,wipe
it,get
she,wash
you,get
you,wanna
you,have
what,happen
what,scratch
what,happen
you,be
it,scratch
you,have
you,have
she,blow
you,get
you,be
mommy,want
you,go
you,be
you,have
they,give
dog,give
you,go
you,want
your,do
dog,give
what,happen
he,give
you,go
what,happen
he,give
what,happen
dad,give
you,put
i,can
i,see
you,use
you,use
you,go
sister,break
it,break
she,play
she,can
you,have
she,hadta
you,bump
you,go
mom,watch
what,happen
you,go
you,get
they,cut
i,see
these,be
that,be
wreck,happen
i,be
i,be
you,be
you,have
they,do
what,happen
they,sing
you,get
you,get
you,have
i,teach
you,go
you,go
you,be
you,be
you,call
it,go
you,go
face,have
mom,would
goat,lick
doggie,lick
doggie,lick
you,do
you,get
mom,get
you,hide
you,stay
you,hide
you,go
what,happen
what,happen
you,fish
you,sit
fish,go
it,eat
you,make
you,make
i,make
you,make
boom,come
he,come
what,happen
you,do
that,be
that,be
what,happen
booman,come
mom,walk
that,be
you,get
easter_bunny,come
it,do
you,spill
she,feel
that,be
she,feel
you,spill
she,sleep
what,happen
you,do
you,go
what,happen
what,happen
i,make
you,get
that,be
you,get
that,hurt
what,happen
you,cry
you,get
you,wanna
you,grow
you,go
you,ice+skate
what,happen
you,fall
what,happen
you,go
i,dry
you,break
you,fall
you,be
what,happen
you,break
you,be
you,have
you,go
what,happen
i,live
you,be
you,be
you,be
what,happen
you,have
you,be
you,see
what,happen
it,crash
what,happen
anything,happen
i,drive
we,drive
we,hadta
which,smash
two,go
you,hadta
you,be
i,travel
i,go
you,be
they,hide
who,be
i,look
sleeve,rip
it,hang
anything,happen
you,go
you,do
i,be
i,be
i,see
you,do
what,happen
you,see
you,be
what,happen
i,see
you,go
what,happen
guy,lose
what,happen
you,see
what,happen
everything,go
what,happen
horse,get
anything,happen
you,ride
this,be
they,grow
you,be
you,be
snake,be
you,glue
we,glue
they,take
snake,be
you,get
you,eat
you,hadta
you,hadta
useta,hold
he,useta
he,want
he,do
you,go
you,go
you,hadta
they,have
he,follow
what,happen
you,hadta
she,drive
he,fix
you,touch
it,flatten
you,run
you,know
wanna,make
you,get
i,want
you,fall
you,bump
you,bump
you,know
what,happen
who,bump
that,be
you,say
anything,happen
what,happen
you,send
she,take
i,do
woodpecker,start
you,paint
woodpecker,start
i,have
who,be
she,go
she,go
she,do
you,do
she,do
you,do
she,do
she,do
you,do
you,cry
they,take
they,use
what,happen
you,hadta
you,visit
you,be
what,happen
she,put
she,poke
what,happen
you,spill
you,have
what,happen
you,spill
you,put
you,take
plant,grow
you,be
they,go
you,sleep
you,put
you,be
you,know
i,travel
i,go
you,be
they,take
he,go
he,bite
he,do
you,go
you,have
you,have
mom,say
it,be
you,cry
what,happen
what,happen
she,move
she,get
you,have
you,be
it,be
she,take
you,go
you,go
you,be
you,do
you,do
you,do
you,be
you,get
you,do
you,see
you,play
you,do
you,go
you,do
you,do
you,have
you,do
that,be
you,have
it,be
you,do
you,do
you,get
what,happen
you,get
you,get
you,open
they,be
that,happen
everybody,look
it,do
everybody,look
you,be
you,be
you,do
you,do
mom,tell
you,get
you,hadta
i,have
who,be
she,go
you,be
that,be
you,be
what,do
you,do
you,be
you,be
they,let
you,go
matter,be
foot,hurt
what,happen
you,do
you,go
you,use
you,do
that,be
you,be
you,use
you,want
they,be
you,go
matter,be
they,do
that,be
butt,hut
you,get
you,see
it,drown
i,see
they,go
you,do
you,get
you,take
i,see
christmas,come
you,do
what,happen
i,see
he,take
she,be
he,be
donna,say
you,say
donna,take
she,do
what,happen
she,have
you,do
you,be
you,see
they,do
you,do
you,find
what,happen
you,go
you,find
you,find
frog,hop
people,come
i,know
it,matter
you,find
they,be
you,do
you,be
you,do
what,happen
they,do
what,happen
what,happen
you,be
you,do
what,happen
you,see
what,happen
what,happen
car,wreck
you,go
what,happen
you,do
what,happen
she,hadta
she,hadta
you,fight
what,happen
you,fight
they,call
what,happen
i,know
they,call
what,happen
what,happen
you,go
what,happen
blondie,run
he,chase
what,happen
mom,start
he,get
you,go
you,do
what,happen
you,went
he,do
you,be
he,catch
what,happen
what,happen
you,go
christmas,come
you,do
we,go
you,do
you,go
you,do
what,happen
you,fix
you,spill
you,spill
