subject_lemma,verb_lemma
you,get
you,hear
you,do
you,do
you,drum
you,see
it,be
it,be
you,pick
ya,go
i,have
i,be
that,be
it,be
record+player,plug
we,keep
record+player,plug
tv,plug
who,give
who,be
you,know
you,remember
who,give
who,give
i,give
i,sew
that,be
you,make
you,make
i,be
i,see
it,be
it,make
you,have
you,put
you,put
that,be
it,be
you,have
you,do
we,do
we,make
i,make
you,want
i,pour
i,wanna
name,be
i,give
babar,go
you,wanna
wanna,read
you,go
you,bring
you,find
i,help
you,find
cmon,let
us,find
you,wanna
you,wanna
you,wanna
you,wanna
they,cry
you,make
you,make
you,wanna
that,be
george,get
wanna,read
babar,visit
one,be
that,be
one,be
it,be
you,help
i,find
it,have
it,be
us,find
i,find
we,start
we,see
we,wanna
thing,do
they,be
they,hit
this,be
i,give
barbar,visit
weather,be
they,decide
arthur,look
i,see
it,go
babar,laugh
you,dream
you,be
it,be
it,come
rocket,land
what,go
wind,pick
door,close
they,have
what,happen
rocket,carry
this,do
thing,be
it,hand
they,eat
flora,eat
trip,be
it,do
he,lose
you,know
caramel,be
it,be
it,be
some,approach
you,know
inhabitant,be
they,be
who,live
they,look
they,look
babar,call
they,look
they,be
you,think
they,be
fellow,invite
they,take
they,moor
egg,float
babar,let
us,follow
egg,rise
city,appear
it,float
planet,be
it,be
this,be
shem,be
you,go
you,slide
egg,be
i,hope
he,pop
they,land
native,rush
one,approach
mushroom,smile
babar,understand
he,guess
hat,invite
they,follow
they,come
arthur,know
elephant,know
flora,have
she,find
dog,be
shem,be
that,look
it,do
thing,be
that,look
it,have
guy,do
kind,be
these,be
they,fit
babar,be
mushroom,order
pool,empty
mm,look
that,look
they,go
this,be
which,serve
babar,try
what,be
babar,try
they,fit
i,think
they,be
foot,be
he,try
what,happen
that,be
everyone,gather
contestant,try
they,fall
you,mean
arthur,sit
guy,knock
he,knock
you,think
thing,be
they,have
they,do
that,look
they,have
arthur,bounce
it,pop
he,bump
one,rip
what,happen
balloon,go
it,have
people,rush
balloon,collapse
i,think
that,be
that,come
they,make
air,come
what,be
that,be
it,go
it,stop
it,sit
they,get
you,think
they,be
he,bump
he,go
they,look
you,think
they,be
he,bump
that,be
he,get
he,bump
egg,be
what,give
you,think
it,be
you,be
he,say
you,be
i,be
i,know
what,happen
other,be
this,be
it,be
you,return
i,be
who,be
who,make
you,come
i,want
i,think
we,say
night,fall
it,part
babar,receive
they,go
arthur,go
he,get
they,get
they,go
they,go
who,think
they,perish
puppy,be
lady,cry
they,kidnap
she,ask
they,know
that,be
it,be
we,know
they,say
we,telephone
i,hope
they,come
you,wanna
what,be
chair,be
leg,be
they,be
he,say
he,talk
you,have
that,have
i,guess
child,sit
he,be
they,wanna
he,babysitte
you,think
he,be
she,give
i,go
we,read
i,sit
you,read
you,know
that,say
he,have
that,be
i,show
he,be
we,get
i,show
he,put
he,be
he,make
he,pull
dog,try
one,be
hat,be
hat,be
this,be
we,see
dog,be
i,do
she,ask
he,like
we,read
dog,go
they,come
dog,go
dog,go
this,be
that,mean
o,be
we,turn
you,see
they,be
o,be
page,try
dog,go
they,smash
they,do
i,know
what,happen
that,be
i,see
who,be
he,be
marty,be
he,help
who,be
that,be
he,have
he,know
daddy,know
