run,age_group,subject,frequency
corrected_2021,84-96mo,wir,0
corrected_2021,84-96mo,gucken,0
corrected_2021,84-96mo,wörter,0
corrected_2021,84-96mo,quatsch,0
corrected_2021,84-96mo,natürlich,0
corrected_2021,84-96mo,machen,0
corrected_2021,84-96mo,zeigen,0
corrected_2021,84-96mo,mal,0
corrected_2021,84-96mo,ja,0
corrected_2021,84-96mo,dir,0
corrected_2021,84-96mo,ist,0
corrected_2021,84-96mo,auch,0
corrected_2021,84-96mo,denn,0
corrected_2021,84-96mo,wie,0
corrected_2021,84-96mo,bisschen,0
corrected_2026,72-84mo,und,0
corrected_2026,72-84mo,du,0
corrected_2026,72-84mo,das,0
corrected_2026,72-84mo,nicht,0
corrected_2026,72-84mo,ich,0
corrected_2026,72-84mo,wir,0
corrected_2026,72-84mo,gucken,0
corrected_2026,72-84mo,wörter,0
corrected_2026,72-84mo,quatsch,0
corrected_2026,72-84mo,natürlich,0
corrected_2026,72-84mo,machen,0
corrected_2026,72-84mo,zeigen,0
corrected_2026,72-84mo,mal,0
corrected_2026,72-84mo,ja,0
corrected_2026,72-84mo,dir,0
corrected_2026,72-84mo,ist,0
corrected_2026,72-84mo,auch,0
corrected_2026,72-84mo,denn,0
corrected_2026,72-84mo,wie,0
corrected_2026,72-84mo,bisschen,0
corrected_2026,84-96mo,und,0
corrected_2026,84-96mo,du,0
corrected_2026,84-96mo,das,0
corrected_2026,84-96mo,nicht,0
corrected_2026,84-96mo,ich,0
corrected_2026,84-96mo,wir,0
corrected_2026,84-96mo,gucken,0
corrected_2026,84-96mo,wörter,0
corrected_2026,84-96mo,quatsch,0
corrected_2026,84-96mo,natürlich,0
corrected_2026,84-96mo,machen,0
corrected_2026,84-96mo,zeigen,0
corrected_2026,84-96mo,mal,0
corrected_2026,84-96mo,ja,0
corrected_2026,84-96mo,dir,0
corrected_2026,84-96mo,ist,0
corrected_2026,84-96mo,auch,0
corrected_2026,84-96mo,denn,0
corrected_2026,84-96mo,wie,0
corrected_2026,84-96mo,bisschen,0
