"collection_name","corpus_name","corpus_id","n_utterances"
"Eng-NA","Sprott",53,1616
"Eng-NA","Hall",42,119953
"Eng-NA","HSLLD",51,202901
"Eng-UK","MPI-EVA-Manchester",224,328309
"Eng-NA","Weist",74,65608
"Eng-NA","Snow",80,18609
"Eng-NA","Clark",37,24283
"Eng-NA","Rollins",47,19684
"Eng-NA","Gathercole",40,2820
"Eng-NA","Feldman",56,6670
"Eng-NA","McCune",73,15668
"Eng-UK","Howe",227,9675
"Eng-NA","Bates",55,8775
"Eng-NA","McMillan",64,145
"Eng-NA","Demetras1",78,8294
"Eng-UK","Forrester",222,10459
"Eng-NA","Valian",35,27831
"Eng-NA","Gleason",49,38505
"Eng-UK","Belfast",233,82227
"Eng-NA","Brent",68,155795
"Eng-NA","NewEngland",41,48126
"Eng-NA","Gelman",52,147134
"Eng-UK","Manchester",219,374226
"Eng-NA","Peters",43,19149
"Eng-NA","Bloom",54,34549
"Eng-NA","Nelson",69,1628
"Eng-NA","Bliss",77,1017
"Eng-UK","Wells",229,46321
"Eng-NA","Penney",339,944
"Eng-NA","Garvey",34,9
"Eng-NA","VanHouten",65,8793
"Eng-NA","Demetras2",67,11119
"Eng-NA","Providence",336,285444
"Eng-NA","Post",59,29139
"Eng-NA","Sawyer",50,22562
"Eng-NA","MacWhinney",62,60794
"Eng-NA","PetersonMcCabe",38,7302
"Eng-NA","Tardif",57,14302
"Eng-UK","Korman",226,13699
"Eng-NA","Hicks",66,5281
"Eng-UK","Tommerdahl",218,13998
"Eng-NA","Kuczaj",48,25853
"Eng-NA","NewmanRatner",76,179694
"Eng-UK","Lara",232,102077
"Eng-NA","Gopnik",46,6387
"Eng-UK","Thomas",223,376734
"Eng-NA","Evans",39,10
"Eng-NA","VanKleeck",44,8756
"Eng-NA","Brown",60,87485
"Eng-NA","Braunwald",70,47985
"Eng-UK","Fletcher",225,26383
"Eng-UK","Nuffield",231,13531
"Eng-NA","Bohannon",79,6707
"Eng-UK","Gathburn",230,13993
"Eng-UK","KellyQuigley",220,6214
"Eng-NA","Menn",333,2763
"Eng-NA","Suppes",45,35793
"Eng-NA","Higginson",58,9672
"Eng-NA","Soderstrom",71,26993
"Eng-NA","Morisset",75,19399
"Eng-NA","Bernstein",36,12522
"Eng-NA","Warren",63,5853
"Eng-NA","Sachs",72,12227
