rank,verb,frequency
1,go,1586
2,do,1552
3,have,1200
4,want,1154
5,get,1062
6,know,1013
7,think,747
8,say,649
9,like,569
10,see,461
11,put,371
12,eat,357
13,make,335
14,tell,286
15,come,280
16,look,267
17,play,229
18,write,205
19,take,172
20,remember,164
21,mean,154
22,need,140
23,give,138
24,happen,138
25,read,112
26,talk,99
27,ask,98
28,try,86
29,find,84
30,can,83
31,hear,81
32,start,78
33,run,76
34,love,75
35,show,75
36,sit,75
37,call,74
38,live,74
39,help,72
40,bring,72
41,use,72
42,watch,69
43,guess,69
44,work,67
45,sing,58
46,sound,57
47,spell,56
48,feel,55
49,forget,55
50,fall,53
51,finish,53
52,hold,52
53,walk,51
54,buy,51
55,turn,50
56,miss,49
57,stand,49
58,pick,48
59,move,47
60,win,47
61,leave,45
62,let,42
63,keep,39
64,ride,38
65,bet,36
66,jump,36
67,stay,35
68,understand,33
69,sleep,33
70,cut,31
71,draw,30
72,learn,29
73,wait,29
74,wonder,29
75,lie,28
76,hurt,28
77,climb,27
78,haft,27
79,drink,27
80,fight,27
81,will,26
82,stop,26
83,fix,24
84,fit,24
85,taste,24
86,kick,24
87,cry,23
88,kneel,23
89,stick,22
90,stretch,22
91,fly,21
92,cook,21
93,open,20
94,hide,20
95,teach,19
96,pull,19
97,send,18
98,throw,18
99,believe,17
100,lose,17
