rank,verb,frequency
1,be,152644
2,go,40988
3,do,33465
4,have,21702
5,get,20847
6,think,17143
7,know,16128
8,see,13095
9,say,10495
10,want,9926
11,put,9462
12,like,8605
13,wanna,8283
14,look,6699
15,come,6591
16,make,5613
17,happen,4235
18,need,4155
19,eat,4094
20,take,4015
21,play,3822
22,tell,3390
23,find,2779
24,can,2410
25,give,2407
26,remember,2326
27,sit,2319
28,mean,2213
29,try,2060
30,fall,2005
31,will,1687
32,help,1445
33,read,1424
34,hear,1420
35,show,1407
36,use,1398
37,bring,1312
38,fit,1281
39,work,1273
40,talk,1266
41,turn,1253
42,start,1239
43,finish,1231
44,buy,1212
45,call,1188
46,open,1117
47,run,1095
48,hurt,1064
49,leave,1041
50,hold,1009
51,feel,982
52,keep,980
53,move,969
54,love,965
55,stay,923
56,live,894
57,watch,875
58,break,871
59,sleep,852
60,walk,813
61,ask,807
62,needta,777
63,drive,734
64,pick,727
65,wonder,705
66,draw,701
67,stand,699
68,would,692
69,build,687
70,let,686
71,wear,673
72,wait,665
73,miss,663
74,sing,653
75,bet,646
76,cut,643
77,cry,641
78,pretend,591
79,guess,585
80,hide,575
81,throw,574
82,hafta,571
83,catch,571
84,jump,570
85,pull,533
86,fix,530
87,push,522
88,stick,515
89,sound,512
90,stop,512
91,drink,511
92,lose,504
93,fly,504
94,wash,487
95,could,465
96,useta,436
97,forget,426
98,grow,424
99,blow,409
100,count,406
