dataset,arm,be_filter,age_group,alpha,mse,n_utterances,n_pairs,n_unique_subjects,n_unique_verbs,status,scope,collection,annotation_scheme
earlier_talkbank,ud_strict,all,overall,1.479999999999999,4.489689367495474e-07,3792185,1775181,8594,3581,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,all,0-12mo,1.4099999999999997,4.928906317620792e-06,186696,89812,1257,1034,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,all,12-24mo,1.479999999999999,3.072671000099035e-07,561660,201409,2577,1417,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,all,24-36mo,1.479999999999999,5.012283550550907e-07,1601873,748922,5136,2363,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,all,36-48mo,1.4199999999999997,9.56869061947834e-07,715524,363466,4001,1888,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,all,48-60mo,1.4199999999999997,1.2609200288384551e-06,346240,188054,2824,1557,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,all,60-72mo,1.4099999999999997,1.0797701963278927e-06,195959,93772,1612,1004,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,all,72-84mo,1.4399999999999995,2.640198085074036e-07,95973,48626,1042,791,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,all,84-96mo,1.4599999999999995,4.696380286864542e-07,88206,41109,925,797,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,no_be,overall,1.4999999999999991,7.64633284223899e-07,3792185,1662058,7430,3580,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,no_be,0-12mo,1.4699999999999993,1.3268117522043987e-05,186696,85182,993,1033,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,no_be,12-24mo,1.5199999999999994,7.130504345735316e-07,561660,187739,2098,1416,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,no_be,24-36mo,1.5099999999999991,8.787273221702041e-07,1601873,696555,4343,2362,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,no_be,36-48mo,1.4399999999999995,1.804942936491832e-06,715524,340543,3415,1887,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,no_be,48-60mo,1.4399999999999995,2.5583669890883294e-06,346240,177387,2419,1556,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,no_be,60-72mo,1.4499999999999995,2.585570386442496e-06,195959,89039,1369,1003,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,no_be,72-84mo,1.489999999999999,2.2486913590615745e-07,95973,46316,856,790,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_strict,no_be,84-96mo,1.4999999999999991,8.349396199142409e-07,88206,39286,772,796,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: strict rule
earlier_talkbank,ud_copula,all,overall,1.489999999999999,2.84537747686563e-07,3792185,2370204,10083,3586,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,all,0-12mo,1.4499999999999995,3.3851246046099e-06,186696,115366,1544,1034,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,all,12-24mo,1.5099999999999991,1.935876403762853e-07,561660,275672,3059,1419,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,all,24-36mo,1.4999999999999991,3.436548157287807e-07,1601873,1009845,5973,2363,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,all,36-48mo,1.4399999999999995,6.146555816756746e-07,715524,483780,4709,1889,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,all,48-60mo,1.4399999999999995,7.425627126114148e-07,346240,246382,3399,1558,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,all,60-72mo,1.4399999999999995,6.529546388937734e-07,195959,122506,2008,1004,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,all,72-84mo,1.4699999999999993,4.696196106739676e-08,95973,63091,1352,792,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,all,84-96mo,1.489999999999999,1.5755795413697497e-07,88206,53550,1239,798,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,no_be,overall,1.4999999999999991,7.632315942988792e-07,3792185,1663109,7437,3585,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
earlier_talkbank,ud_copula,no_be,0-12mo,1.4599999999999995,1.3235898100501162e-05,186696,85231,995,1033,ok,broader_english,Clinical-Eng;Eng-AAE;Eng-NA;Eng-UK,UD: includes copulas
