rank,verb,frequency
1,be,9242
2,go,3824
3,get,1933
4,want,1910
5,do,1527
6,have,1136
7,know,936
8,see,895
9,think,722
10,like,695
11,say,625
12,put,500
13,come,387
14,look,306
15,play,304
16,need,257
17,make,252
18,try,233
19,take,226
20,hear,198
21,eat,189
22,give,150
23,find,149
24,love,144
25,fall,139
26,sit,125
27,throw,119
28,tell,112
29,feel,98
30,can,97
31,help,97
32,talk,91
33,let,89
34,turn,79
35,hold,79
36,read,79
37,stand,73
38,drop,72
39,hurt,72
40,mean,71
41,work,70
42,walk,68
43,watch,67
44,wash,63
45,pull,62
46,keep,59
47,wave,58
48,sing,57
49,guess,55
50,roll,54
51,chew,54
52,stay,53
53,push,53
54,leave,51
55,crawl,51
56,wear,50
57,run,49
58,open,49
59,bring,48
60,taste,45
61,move,43
62,use,43
63,knock,43
64,reach,42
65,start,41
66,close,41
67,forget,40
68,smell,40
69,clean,39
70,hide,39
71,call,37
72,shake,37
73,clap,35
74,bite,35
75,stop,35
76,pick,34
77,sound,33
78,blow,32
79,hope,32
80,show,32
81,remember,32
82,learn,30
83,miss,29
84,needta,29
85,bang,28
86,drink,28
87,hit,27
88,build,27
89,touch,27
90,feed,27
91,ask,26
92,bet,26
93,will,26
94,fly,26
95,fix,25
96,wait,25
97,tickle,25
98,cry,24
99,jump,24
100,fit,24
