collection,corpus,transcript,utterance_id,classification,multiplicity,alignment_basis,spacy_subject_surface,spacy_verb_surface,spacy_subject_lemma,spacy_verb_lemma,spacy_verb_pos,ud_subject_surface,ud_verb_surface,ud_subject_lemma,ud_verb_lemma,ud_verb_pos
Eng-NA,Brown,Brown/Sarah/040209.cha,162,both,1,surface_forms,it,shows,it,show,VERB,it,shows,it,show,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,162,both,1,surface_forms,she,understands,she,understand,VERB,she,understands,she,understand,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,164,both,1,surface_forms,I,been,i,be,AUX,I,been,i,be,AUX
Eng-NA,Brown,Brown/Sarah/040209.cha,165,both,1,surface_forms,I,know,i,know,VERB,I,know,i,know,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,166,both,1,surface_forms,it,shows,it,show,VERB,it,shows,it,show,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,168,both,1,surface_forms,you,hear,you,hear,VERB,you,hear,you,hear,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,175,both,1,surface_forms,eggs,come,egg,come,VERB,eggs,come,egg,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,178,both,1,surface_forms,eggs,come,egg,come,VERB,eggs,come,egg,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,180,both,1,surface_forms,you,know,you,know,VERB,you,know,you,know,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,182,both,1,surface_forms,she,knows,she,know,VERB,she,knows,she,know,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,182,both,1,surface_forms,eggs,come,egg,come,VERB,eggs,come,egg,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,184,both,1,surface_forms,what,comes,what,come,VERB,what,comes,what,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,186,both,1,surface_forms,eggs,come,egg,come,VERB,eggs,come,egg,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,188,both,1,surface_forms,eggs,come,egg,come,VERB,eggs,come,egg,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,193,both,1,surface_forms,I,wonder,i,wonder,VERB,I,wonder,i,wonder,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,193,both,1,surface_forms,Dickie,did,dickie,do,VERB,Dickie,did,dickie,do,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,194,both,1,surface_forms,he,put,he,put,VERB,he,put,he,put,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,213,both,1,surface_forms,she,had,she,have,VERB,she,had,she,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,215,both,1,surface_forms,I,got,i,get,VERB,I,got,i,get,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,217,both,1,surface_forms,you,had,you,have,VERB,you,had,you,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,220,both,1,surface_forms,you,want,you,want,VERB,you,want,you,want,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,221,both,1,surface_forms,he,have,he,have,VERB,he,have,he,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,223,both,1,surface_forms,he,have,he,have,VERB,he,have,he,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,225,both,1,surface_forms,you,know,you,know,VERB,you,know,you,know,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,229,both,1,surface_forms,you,call,you,call,VERB,you,call,you,call,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,230,both,1,surface_forms,you,had,you,have,VERB,you,had,you,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,231,both,1,surface_forms,that,lends,that,lend,VERB,that,lends,that,lend,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,235,both,1,surface_forms,you,want,you,want,VERB,you,want,you,want,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,264,both,1,surface_forms,you,fix,you,fix,VERB,you,fix,you,fix,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,268,both,1,surface_forms,who,gets,who,get,VERB,who,gets,who,get,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,275,both,1,surface_forms,I,get,i,get,VERB,I,get,i,get,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,286,both,1,surface_forms,I,think,i,think,VERB,I,think,i,think,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,298,both,1,surface_forms,you,remember,you,remember,VERB,you,remember,you,remember,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,300,both,1,surface_forms,you,forget,you,forget,VERB,you,forget,you,forget,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,302,both,1,surface_forms,you,stand,you,stand,VERB,you,stand,you,stand,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,304,both,1,surface_forms,you,come,you,come,VERB,you,come,you,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,317,both,1,surface_forms,Melissa,got,melissa,get,VERB,Melissa,got,melissa,get,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,318,both,1,surface_forms,she,eats,she,eat,VERB,she,eats,she,eat,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,329,both,1,surface_forms,she,has,she,have,VERB,she,has,she,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,338,both,1,surface_forms,thing,came,thing,come,VERB,thing,came,thing,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,340,both,1,surface_forms,I,think,i,think,VERB,I,think,i,think,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,347,both,1,surface_forms,you,get,you,get,VERB,you,get,you,get,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,362,both,1,surface_forms,that,makes,that,make,VERB,that,makes,that,make,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,363,both,1,surface_forms,you,have,you,have,VERB,you,have,you,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,367,both,1,surface_forms,that,make,that,make,VERB,that,make,that,make,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,379,both,1,surface_forms,you,brush,you,brush,VERB,you,brush,you,brush,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,385,both,1,surface_forms,you,want,you,want,VERB,you,want,you,want,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,391,both,1,surface_forms,that,goes,that,go,VERB,that,goes,that,go,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,394,both,1,surface_forms,it,come,it,come,VERB,it,come,it,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,398,both,1,surface_forms,Sarah,made,sarah,make,VERB,Sarah,made,sarah,make,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,403,both,1,surface_forms,I,know,i,know,VERB,I,know,i,know,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,404,both,1,surface_forms,she,loves,she,love,VERB,she,loves,she,love,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,416,both,1,surface_forms,you,use,you,use,VERB,you,use,you,use,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,427,both,1,surface_forms,cotton,do,cotton,do,VERB,cotton,do,cotton,do,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,428,both,1,surface_forms,it,help,it,help,VERB,it,help,it,help,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,432,both,1,surface_forms,you,comb,you,comb,VERB,you,comb,you,comb,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,437,both,1,surface_forms,you,got,you,get,VERB,you,got,you,get,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,447,both,1,surface_forms,you,lose,you,lose,VERB,you,lose,you,lose,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,450,both,1,surface_forms,Grampy,gave,grampy,give,VERB,Grampy,gave,grampy,give,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,453,both,1,surface_forms,Grampy,gave,grampy,give,VERB,Grampy,gave,grampy,give,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,472,both,1,surface_forms,I,brought,i,bring,VERB,I,brought,i,bring,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,474,both,1,surface_forms,we,come,we,come,VERB,we,come,we,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,478,both,1,surface_forms,we,go,we,go,VERB,we,go,we,go,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,486,both,1,surface_forms,I,want,i,want,VERB,I,want,i,want,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,488,both,1,surface_forms,boys,put,boy,put,VERB,boys,put,boy,put,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,490,both,1,surface_forms,Sarah,come,sarah,come,VERB,Sarah,come,sarah,come,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,492,both,1,surface_forms,you,see,you,see,VERB,you,see,you,see,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,492,both,1,surface_forms,men,slide,man,slide,VERB,men,slide,man,slide,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,493,both,1,surface_forms,it,have,it,have,VERB,it,have,it,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,495,both,1,surface_forms,you,see,you,see,VERB,you,see,you,see,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,497,both,1,surface_forms,you,missed,you,miss,VERB,you,missed,you,miss,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,501,both,1,surface_forms,they,gone,they,go,VERB,they,gone,they,go,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,502,both,1,surface_forms,Sarah,seen,sarah,see,VERB,Sarah,seen,sarah,see,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,503,both,1,surface_forms,she,missed,she,miss,VERB,she,missed,she,miss,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,504,both,1,surface_forms,I,remember,i,remember,VERB,I,remember,i,remember,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,504,both,1,surface_forms,I,went,i,go,VERB,I,went,i,go,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,504,both,1,surface_forms,they,gave,they,give,VERB,they,gave,they,give,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,504,both,1,surface_forms,men,jump,man,jump,VERB,men,jump,man,jump,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,505,both,1,surface_forms,she,seen,she,see,VERB,she,seen,she,see,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,507,both,1,surface_forms,they,wear,they,wear,VERB,they,wear,they,wear,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,509,both,1,surface_forms,I,see,i,see,VERB,I,see,i,see,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,511,both,1,surface_forms,they,wear,they,wear,VERB,they,wear,they,wear,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,516,both,1,surface_forms,that,goes,that,go,VERB,that,goes,that,go,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,523,both,1,surface_forms,Betty,went,betty,go,VERB,Betty,went,betty,go,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,530,both,1,surface_forms,she,having,she,have,VERB,she,having,she,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,545,both,1,surface_forms,Sarah,have,sarah,have,VERB,Sarah,have,sarah,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,546,both,1,surface_forms,I,did,i,do,VERB,I,did,i,do,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,547,both,1,surface_forms,I,did,i,do,VERB,I,did,i,do,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,548,both,1,surface_forms,they,do,they,do,VERB,they,do,they,do,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,548,both,1,surface_forms,they,useta,they,useta,VERB,they,useta,they,useta,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,551,both,1,surface_forms,she,had,she,have,VERB,she,had,she,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,552,both,1,surface_forms,you,see,you,see,VERB,you,see,you,see,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,554,both,1,surface_forms,they,were,they,be,AUX,they,were,they,be,AUX
Eng-NA,Brown,Brown/Sarah/040209.cha,555,both,1,surface_forms,she,get,she,get,VERB,she,get,she,get,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,560,both,1,surface_forms,I,guess,i,guess,VERB,I,guess,i,guess,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,560,both,1,surface_forms,they,do,they,do,VERB,they,do,they,do,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,563,both,1,surface_forms,you,have,you,have,VERB,you,have,you,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,567,both,1,surface_forms,you,have,you,have,VERB,you,have,you,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,571,both,1,surface_forms,Joan,went,joan,go,VERB,Joan,went,joan,go,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,576,both,1,surface_forms,you,have,you,have,VERB,you,have,you,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,579,both,1,surface_forms,uncle,had,uncle,have,VERB,uncle,had,uncle,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,581,both,1,surface_forms,mother,had,mother,have,VERB,mother,had,mother,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,584,both,1,surface_forms,she,had,she,have,VERB,she,had,she,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,586,both,1,surface_forms,he,had,he,have,VERB,he,had,he,have,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,604,both,1,surface_forms,he,move,he,move,VERB,he,move,he,move,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,607,both,1,surface_forms,he,moved,he,move,VERB,he,moved,he,move,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,615,both,1,surface_forms,she,forget,she,forget,VERB,she,forget,she,forget,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,616,both,1,surface_forms,she,forget,she,forget,VERB,she,forget,she,forget,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,620,both,1,surface_forms,I,see,i,see,VERB,I,see,i,see,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,622,both,1,surface_forms,cars,crashed,car,crash,VERB,cars,crashed,car,crash,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,622,both,1,surface_forms,I,guess,i,guess,VERB,I,guess,i,guess,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,623,both,1,surface_forms,they,took,they,take,VERB,they,took,they,take,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,624,both,1,surface_forms,you,know,you,know,VERB,you,know,you,know,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,625,both,1,surface_forms,she,kept,she,keep,VERB,she,kept,she,keep,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,628,both,1,surface_forms,she,see,she,see,VERB,she,see,she,see,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,629,both,1,surface_forms,she,saw,she,see,VERB,she,saw,she,see,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,629,both,1,surface_forms,you,know,you,know,VERB,you,know,you,know,VERB
Eng-NA,Brown,Brown/Sarah/040209.cha,630,both,1,surface_forms,she,kept,she,keep,VERB,she,kept,she,keep,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,1,both,1,surface_forms,guy,saying,guy,say,VERB,guy,saying,guy,say,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,9,both,1,surface_forms,one,do,one,do,VERB,one,do,one,do,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,14,both,1,surface_forms,I,know,i,know,VERB,I,know,i,know,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,14,both,1,surface_forms,you,know,you,know,VERB,you,know,you,know,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,43,both,1,surface_forms,you,need,you,need,VERB,you,need,you,need,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,45,both,1,surface_forms,you,going,you,go,VERB,you,going,you,go,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,46,both,1,surface_forms,you,going,you,go,VERB,you,going,you,go,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,54,both,1,surface_forms,we,need,we,need,VERB,we,need,we,need,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,60,both,1,surface_forms,you,see,you,see,VERB,you,see,you,see,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,61,both,1,surface_forms,they,are,they,be,AUX,they,are,they,be,AUX
Eng-NA,Champaign,Champaign/21P/51G.cha,68,both,1,surface_forms,baby,gets,baby,get,VERB,baby,gets,baby,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,71,both,1,surface_forms,you,get,you,get,VERB,you,get,you,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,77,both,1,surface_forms,mommy,gets,mommy,get,VERB,mommy,gets,mommy,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,82,both,1,surface_forms,you,think,you,think,VERB,you,think,you,think,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,82,both,1,surface_forms,we,have,we,have,VERB,we,have,we,have,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,86,both,1,surface_forms,he,eat,he,eat,VERB,he,eat,he,eat,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,88,both,1,surface_forms,you,go,you,go,VERB,you,go,you,go,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,93,both,1,surface_forms,you,need,you,need,VERB,you,need,you,need,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,95,both,1,surface_forms,he,sit,he,sit,VERB,he,sit,he,sit,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,97,both,1,surface_forms,you,want,you,want,VERB,you,want,you,want,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,100,both,1,surface_forms,he,have,he,have,VERB,he,have,he,have,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,104,both,1,surface_forms,he,is,he,be,AUX,he,is,he,be,AUX
Eng-NA,Champaign,Champaign/21P/51G.cha,109,both,1,surface_forms,he,get,he,get,VERB,he,get,he,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,111,both,1,surface_forms,mom,have,mom,have,VERB,mom,have,mom,have,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,121,both,1,surface_forms,you,think,you,think,VERB,you,think,you,think,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,121,both,1,surface_forms,we,make,we,make,VERB,we,make,we,make,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,125,both,1,surface_forms,you,need,you,need,VERB,you,need,you,need,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,126,both,1,surface_forms,you,getting,you,get,VERB,you,getting,you,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,129,both,1,surface_forms,you,know,you,know,VERB,you,know,you,know,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,129,both,1,surface_forms,we,need,we,need,VERB,we,need,we,need,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,131,both,1,surface_forms,she,eat,she,eat,VERB,she,eat,she,eat,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,144,both,1,surface_forms,I,get,i,get,VERB,I,get,i,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,146,both,1,surface_forms,you,get,you,get,VERB,you,get,you,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,148,both,1,surface_forms,baby,gets,baby,get,VERB,baby,gets,baby,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,153,both,1,surface_forms,baby,get,baby,get,VERB,baby,get,baby,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,170,both,1,surface_forms,they,match,they,match,VERB,they,match,they,match,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,180,both,1,surface_forms,dishes,are,dish,be,AUX,dishes,are,dish,be,AUX
Eng-NA,Champaign,Champaign/21P/51G.cha,191,both,1,surface_forms,baby,have,baby,have,VERB,baby,have,baby,have,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,192,both,1,surface_forms,baby,have,baby,have,VERB,baby,have,baby,have,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,195,both,1,surface_forms,you,want,you,want,VERB,you,want,you,want,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,197,both,1,surface_forms,you,want,you,want,VERB,you,want,you,want,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,202,both,1,surface_forms,I,get,i,get,VERB,I,get,i,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,205,both,1,surface_forms,you,go,you,go,VERB,you,go,you,go,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,208,both,1,surface_forms,baby,need,baby,need,VERB,baby,need,baby,need,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,222,both,1,surface_forms,you,have,you,have,VERB,you,have,you,have,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,227,both,1,surface_forms,baby,have,baby,have,VERB,baby,have,baby,have,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,228,both,1,surface_forms,you,see,you,see,VERB,you,see,you,see,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,233,both,1,surface_forms,we,give,we,give,VERB,we,give,we,give,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,239,both,1,surface_forms,you,trying,you,try,VERB,you,trying,you,try,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,241,both,1,surface_forms,you,looking,you,look,VERB,you,looking,you,look,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,248,both,1,surface_forms,you,have,you,have,VERB,you,have,you,have,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,249,both,1,surface_forms,we,go,we,go,VERB,we,go,we,go,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,253,both,1,surface_forms,you,put,you,put,VERB,you,put,you,put,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,256,both,1,surface_forms,it,go,it,go,VERB,it,go,it,go,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,260,both,1,surface_forms,you,put,you,put,VERB,you,put,you,put,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,262,both,1,surface_forms,we,get,we,get,VERB,we,get,we,get,VERB
Eng-NA,Champaign,Champaign/21P/51G.cha,268,both,1,surface_forms,you,want,you,want,VERB,you,want,you,want,VERB
