subject_lemma,verb_lemma
you,wanna
i,have
this,be
i,want
you,do
story,be
i,give
you,say
boy,catch
you,look
you,go
we,go
you,tell
you,speak
truck,be
you,be
you,learn
that,be
us,see
i,have
i,have
us,see
what,happen
i,share
they,be
i,have
these,be
all,be
they,have
what,tell
this,look
that,be
you,do
i,want
you,do
you,listen
i,want
you,look
you,be
you,name
you,wanna
it,be
that,be
you,do
you,remember
it,be
i,have
that,be
this,be
we,do
other,play
this,be
it,have
you,know
this,go
you,know
i,want
you,do
what,tell
you,say
boy,catch
you,wanna
wanna,do
you,know
i,have
it,be
it,have
i,want
you,do
i,mean
you,make
i,give
you,say
boy,catch
you,look
you,go
what,happen
what,happen
that,be
you,be
you,learn
us,see
i,have
i,have
us,start
this,be
this,be
you,know
book,have
i,want
you,look
you,look
you,know
you,like
i,want
you,look
i,want
you,tell
what,happen
you,turn
you,say
boy,try
he,catch
that,be
that,be
you,know
you,do
i,have
we,do
i,want
you,look
you,know
you,say
boy,catch
you,read
that,be
you,do
you,like
you,do
you,know
i,have
you,know
i,think
you,know
one,be
we,do
i,want
you,do
what,happen
you,say
boy,catch
that,be
you,be
you,know
i,have
we,do
i,have
this,be
it,be
it,be
i,want
you,look
that,be
i,go
you,be
it,have
you,get
you,get
you,look
you,figure
story,be
you,know
you,see
you,have
you,do
you,know
i,have
it,have
i,want
you,look
you,say
boy,catch
you,know
you,look
you,tell
you,look
you,be
you,be
you,speak
you,go
us,begin
it,take
you,needta
you,do
you,wanna
you,do
i,think
i,get
i,see
i,see
he,be
i,guess
you,be
you,learn
he,be
one,be
i,want
you,look
story,be
you,go
frog,be
you,mean
they,be
you,learn
that,be
wanna,do
i,want
you,look
i,want
you,make
you,say
boy,catch
you,wanna
who,teach
you,do
that,be
you,like
you,do
this,be
this,be
you,know
story,be
i,want
you,do
you,remember
you,know
i,show
you,see
you,say
boy,try
he,catch
it,be
you,wanna
that,be
you,do
i,have
this,be
this,be
i,want
you,look
you,do
it,go
you,know
i,want
you,do
you,know
what,happen
you,know
you,say
boy,catch
you,know
you,look
you,tell
you,put
i,help
you,hold
you,tell
what,happen
that,be
that,be
that,be
you,do
you,know
us,do
that,be
that,be
one,be
i,think
this,be
you,make
it,have
this,be
you,tell
we,be
i,want
i,want
you,look
story,be
you,look
page,be
you,go
you,do
it,be
that,be
word,be
you,turn
i,do
that,be
that,be
you,know
you,be
that,be
i,have
you,get
i,want
you,look
you,know
you,say
boy,catch
that,be
you,have
you,look
you,tell
i,watch
that,be
who,teach
that,be
you,make
i,have
this,be
one,be
it,have
it,have
i,want
you,look
you,read
i,want
you,look
i,want
you,figure
i,want
you,make
you,hold
i,hold
you,mean
you,learn
that,be
you,tell
i,want
i,want
you,do
you,know
you,tell
what,happen
you,say
boy,catch
you,look
that,be
you,be
this,be
it,have
it,be
you,look
you,understand
what,happen
you,tell
this,be
you,know
what,go
you,want
you,look
us,see
what,happen
boy,see
what,happen
who,teach
you,teach
that,be
this,be
it,have
it,have
it,have
you,make
you,know
i,want
you,do
you,know
i,want
you,start
you,know
i,give
you,say
you,listen
it,be
you,say
boy,catch
you,tell
what,happen
what,happen
what,happen
what,happen
what,happen
you,do
you,like
that,be
you,know
i,have
i,have
you,know
one,be
you,know
one,be
i,want
you,look
i,want
you,look
i,give
you,say
boy,catch
you,tell
you,know
you,see
those,be
you,read
this,be
it,have
it,have
i,want
you,do
i,want
you,tell
you,make
i,want
you,look
you,figure
book,be
i,want
you,go
you,tell
you,make
you,know
you,do
you,show
book,be
what,happen
boy,go
that,be
i,hear
you,speak
he,do
he,do
what,happen
what,happen
that,be
that,be
you,do
you,know
we,do
i,have
this,be
it,have
i,want
you,do
you,look
we,go
i,want
you,tell
i,give
you,say
boy,try
he,catch
you,look
you,tell
you,see
you,start
wanna,start
you,be
i,look
i,be
you,put
i,see
you,tell
i,see
i,see
you,put
you,go
that,be
it,be
you,know
i,have
one,take
you,know
this,be
you,know
you,read
it,be
it,have
it,have
i,want
you,do
story,be
you,make
you,tell
i,give
you,say
boy,catch
you,look
you,say
that,be
you,learn
that,be
i,have
this,be
i,like
you,do
story,be
you,say
boy,catch
what,happen
what,happen
he,do
that,be
that,be
who,teach
that,be
you,tell
she,like
that,be
you,be
you,listen
you,be
you,be
i,think
you,need
i,want
you,do
i,want
you,look
i,give
you,say
boy,catch
i,want
you,look
that,be
you,know
you,see
what,happen
you,look
you,tell
story,be
i,know
it,be
you,say
hasta,do
i,think
you,be
you,know
i,hear
you,say
you,go
you,have
you,say
you,have
who,have
i,ask
you,say
that,be
i,want
i,want
what,happen
i,mean
you,have
that,be
that,happen
that,happen
wanna,do
these,be
you,see
we,finish
us,do
i,know
we,do
you,see
you,do
you,do
you,be
you,need
i,want
you,look
you,remember
story,be
book,go
i,want
you,tell
you,can
you,go
you,get
you,tell
you,do
you,be
you,read
i,have
one,be
you,wanna
wanna,know
one,have
you,know
i,mean
i,want
you,do
you,tell
what,happen
you,know
you,say
boy,try
you,wanna
what,happen
you,like
somebody,teach
you,do
you,learn
that,be
you,be
we,decide
old,need
they,be
you,think
i,have
they,be
they,have
they,have
you,remember
you,do
we,need
you,be
you,need
i,wanna
you,look
you,want
you,be
i,want
you,make
one,be
this,look
you,know
that,be
you,wanna
they,be
you,know
you,do
you,do
you,have
i,mean
you,make
you,make
you,do
you,add
you,add
that,be
father,tell
he,make
i,know
he,pull
i,think
we,get
they,tell
that,be
it,be
i,wish
i,do
that,be
you,be
it,be
it,be
it,have
i,want
you,do
you,be
you,could
you,do
you,be
you,learn
that,be
you,be
you,get
eye,check
leg,check
what,happen
he,want
you,walk
mom,take
that,be
mom,say
i,be
mom,say
i,be
you,be
she,sneak
you,get
what,happen
it,be
he,hadta
mom,go
you,see
you,have
she,bring
you,break
hadta,get
she,be
mom,leave
mom,leave
you,say
mom,leave
i,be
you,say
mom,leave
that,be
you,say
that,be
you,say
you,break
i,see
i,see
you,be
that,live
hadta,go
you,hadta
hadta,go
that,be
dad,go
he,hadta
you,do
you,hadta
you,go
it,be
you,go
it,go
it,go
mom,get
you,do
what,happen
man,pick
you,hide
this,be
this,happen
what,happen
what,happen
i,go
i,get
mother,care
we,go
mother,care
you,go
boy,beat
he,hadta
he,do
he,keep
he,say
he,be
that,be
you,say
he,be
he,be
he,be
he,go
that,be
he,say
i,be
he,skip
he,know
you,live
you,have
they,be
you,slap
they,keep
boy,try
i,move
you,put
mom,know
she,know
those,be
i,see
you,say
you,go
you,be
you,remember
i,know
that,be
you,tell
you,go
she,hadta
they,make
you,take
he,make
you,swallow
throat,bleed
you,visit
you,love
you,visit
she,have
arm,break
you,feel
she,get
she,hadta
she,hadta
she,come
what,happen
what,happen
what,happen
you,go
you,talk
they,be
mom,let
i,be
i,understand
they,be
you,say
it,be
they,streak
mother,have
kid,do
they,get
i,believe
they,be
you,spank
you,babysitte
one,be
one,be
you,get
you,do
you,get
what,happen
it,bleed
that,happen
what,happen
you,be
you,have
what,happen
you,be
you,argue
you,ride
kid,rid
what,happen
what,happen
you,be
what,happen
you,get
you,see
you,have
what,happen
it,happen
you,plant
you,do
you,plant
you,do
you,do
what,happen
you,do
you,try
dog,do
he,do
you,lose
you,pretend
mom,know
she,have
you,lose
you,pretend
what,happen
you,walk
what,happen
you,fall
you,get
you,soak
you,have
you,camp
you,take
you,buy
you,go
you,have
you,be
she,hadta
they,come
you,be
you,buy
you,be
you,have
you,have
you,have
he,jump
he,ski
you,go
it,be
you,pick
cousin,go
it,look
you,bang
what,happen
you,fall
you,fall
you,be
hadta,take
you,see
it,be
he,hadta
you,be
you,have
you,eat
dog,drink
what,happen
you,go
you,get
you,have
you,get
you,do
it,hurt
it,bleed
you,go
you,go
it,bleed
you,have
anything,happen
what,happen
she,die
you,bury
you,sting
kind_of,feel
you,do
bee,sting
what,happen
he,put
he,throw
he,ride
you,be
you,be
you,have
you,be
you,be
you,be
she,do
you,have
what,happen
that,be
you,go
you,have
it,depend
they,might
they,hurt
she,take
you,have
you,take
it,be
you,go
what,happen
i,live
you,be
he,shoot
you,go
she,do
you,find
they,do
you,see
it,be
you,be
you,do
what,happen
cup,break
you,karate+choppe
you,karate+choppe
it,go
you,put
you,paint
you,have
you,tell
you,be
he,be
daddy,want
you,walk
you,hit
i,imagine
you,have
what,happen
he,give
you,fall
you,put
you,go
you,go
you,hadta
they,call
who,fall
thermometer,be
that,be
you,be
you,be
it,hurt
you,fall
it,break
what,happen
you,push
what,happen
you,hurt
you,break
what,happen
you,fall
you,hadta
i,be
i,hear
it,get
they,take
you,get
you,be
what,happen
you,hadta
you,swam
you,walk
you,spill
you,have
what,happen
he,try
that,happen
that,happen
what,happen
you,visit
what,happen
you,go
what,happen
you,visit
you,be
you,be
you,go
you,go
bus,break
what,happen
you,hadta
he,die
what,happen
what,happen
you,hit
part,fly
that,go
dad,fix
you,be
you,be
you,have
what,happen
you,be
dad,go
that,be
you,have
that,be
you,break
what,happen
you,get
you,have
what,happen
you,see
that,be
what,happen
i,see
what,happen
car,burn
everybody,get
it,be
that,be
what,happen
you,see
you,do
what,happen
what,happen
you,hear
what,happen
you,know
they,have
you,see
what,happen
he,hadta
appendix,take
you,have
you,fight
brother,have
what,happen
you,go
you,do
what,happen
he,work
he,take
you,get
you,do
what,happen
you,have
they,give
you,have
anything,happen
one,runne
rabbit,die
what,happen
you,be
you,be
you,go
you,go
you,be
you,do
anything,happen
what,happen
it,do
you,do
what,happen
water,be
