subject_lemma,verb_lemma
you,spill
what,happen
you,spill
you,say
he,fight
lip,cut
i,know
you,get
you,get
stomach,pump
you,be
you,wipe
i,close
you,say
you,be
you,hadta
hadta,get
you,get
you,hadta
pill,come
you,visit
you,have
he,be
anything,happen
you,have
he,run
you,run
they,go
you,get
i,drop
you,do
you,break
you,break
you,be
you,get
you,swimme
you,be
you,have
he,die
it,be
he,fall
son,do
you,see
you,do
you,know
kid,fight
i,tell
you,do
he,have
she,do
they,fight
she,make
you,climb
you,do
you,slam
you,hadta
that,be
you,visit
mom,take
she,be
anything,happen
you,remember
i,guess
cat,wanna
something,bite
vet,put
it,come
you,break
she,do
you,go
you,go
they,eat
he,break
he,knock
you,be
you,go
i,live
you,be
you,have
you,go
mom,be
you,come
you,hadta
you,hadta
mother,come
mother,ask
anything,happen
he,go
you,rip
cousin,fight
you,have
what,happen
you,go
you,put
that,be
you,hadta
what,happen
you,put
i,guess
what,happen
dog,run
you,be
you,move
he,run
i,see
you,do
what,happen
what,come
you,have
you,have
you,have
lock,go
fritz,come
he,be
you,get
michael,do
what,happen
he,hadta
what,happen
i,live
you,be
you,do
what,happen
you,go
you,be
what,happen
you,eat
they,be
you,do
you,go
you,go
you,do
liam,want
he,be
someone,have
you,do
i,know
he,be
he,hat
you,do
he,get
you,go
he,do
you,go
what,happen
you,be
you,have
what,happen
you,get
i,go
you,do
what,happen
we,hadta
it,take
we,stop
you,go
you,go
you,do
you,do
you,do
that,be
you,do
i,tell
what,happen
you,do
you,have
you,do
anything,happen
you,be
you,hate
anything,happen
you,do
you,go
i,camp
you,do
you,go
anything,happen
you,do
that,happen
you,skin
it,bleed
it,happen
you,rip
that,be
you,say
you,go
you,go
i,notice
you,do
you,do
what,happen
you,go
i,see
you,spill
you,spill
you,do
what,happen
you,hadta
kind,grow
you,be
seaworld,tell
you,be
what,happen
you,see
you,be
you,have
heidi,have
you,live
birthday,come
that,be
it,be
you,do
you,do
i,look
i,find
he,make
what,happen
you,clean
you,leave
what,happen
you,go
what,happen
hadta,take
you,swim
something,cut
you,breathe
they,put
that,be
it,be
you,be
you,mean
you,go
you,be
they,play
you,be
you,be
you,go
it,be
you,do
you,be
you,have
hadta,take
you,have
you,go
you,be
what,happen
you,get
cindy,have
you,have
you,forget
she,say
they,be
that,go
you,rip
what,happen
you,be
she,rip
you,hadta
that,be
they,be
they,be
you,have
he,do
he,make
you,get
it,be
what,happen
mother,smack
he,go
you,be
what,happen
you,wave
friend,have
anything,happen
you,see
they,run
she,come
she,let
you,get
what,happen
that,help
you,tell
she,do
you,fish
she,go
you,carry
you,carry
she,be
you,carry
i,know
you,do
what,happen
you,go
he,fly
he,be
you,see
he,do
what,happen
he,fall
they,hadta
you,use
you,do
you,beat
you,go
you,go
what,happen
you,do
he,jump
he,shoot
