rank,verb,frequency
1,go,1916
2,have,1311
3,know,1263
4,do,1228
5,get,1132
6,want,1118
7,think,822
8,say,782
9,eat,678
10,like,658
11,look,519
12,see,491
13,come,417
14,make,375
15,tell,338
16,put,306
17,happen,216
18,play,212
19,stick,200
20,take,195
21,read,194
22,find,186
23,start,173
24,need,170
25,give,167
26,live,161
27,remember,150
28,call,143
29,use,139
30,mean,131
31,try,127
32,sit,124
33,fly,121
34,talk,117
35,drink,114
36,stay,106
37,work,98
38,feel,93
39,hear,93
40,keep,87
41,ask,87
42,bring,85
43,love,84
44,fall,80
45,can,75
46,run,75
47,wave,72
48,pick,71
49,leave,70
50,turn,69
51,guess,61
52,help,59
53,build,58
54,let,57
55,watch,54
56,finish,53
57,buy,53
58,end,51
59,grow,50
60,roll,46
61,walk,45
62,will,44
63,lay,43
64,scare,42
65,open,41
66,land,40
67,jump,40
68,forget,39
69,sound,38
70,rain,38
71,wait,35
72,dripp,35
73,pack,34
74,roar,34
75,show,33
76,stop,33
77,nibble,33
78,miss,32
79,learn,32
80,lose,32
81,fit,31
82,carry,31
83,hold,30
84,could,30
85,bet,30
86,drive,30
87,move,29
88,wash,29
89,cook,29
90,taste,28
91,break,28
92,write,28
93,dig,28
94,charge,28
95,throw,27
96,listen,27
97,wonder,26
98,drop,26
99,hurt,26
100,weigh,26
