age_group,alpha,mse,n_utterances,n_pairs,n_unique_subjects,n_unique_verbs,status,scope,collection,annotation_scheme
0-12mo,1.5599999999999994,2.6652554002357225e-07,68282,22702,492,588,ok,eng_na,Eng-NA,UD: strict rule
12-24mo,1.5099999999999993,6.106795492391509e-07,204262,71201,1088,936,ok,eng_na,Eng-NA,UD: strict rule
24-36mo,1.4399999999999995,1.8096490950541278e-06,266001,129038,1747,1137,ok,eng_na,Eng-NA,UD: strict rule
36-48mo,1.4399999999999995,1.65667478635361e-06,162502,83267,1520,1015,ok,eng_na,Eng-NA,UD: strict rule
48-60mo,1.4499999999999995,6.03055752869665e-06,199456,102456,1834,1302,ok,eng_na,Eng-NA,UD: strict rule
60-72mo,1.4499999999999995,4.1869694143596105e-06,42416,21742,620,603,ok,eng_na,Eng-NA,UD: strict rule
72-84mo,1.2799999999999996,1.23805017406726e-05,7639,4021,152,279,ok,eng_na,Eng-NA,UD: strict rule
84-96mo,1.3799999999999994,1.4433018046967699e-05,18841,8057,304,428,ok,eng_na,Eng-NA,UD: strict rule
