dataset,scope,age_group,arm,n_utterances,all_pairs,no_be_pairs,be_pairs_removed,copula_pairs_added
matched,eng_na,60-72mo,ud_copula,42416,29507,21755,7752,6777
matched,eng_na,60-72mo,spacy_chat,42416,31000,22929,8071,0
matched,eng_na,60-72mo,spacy_original,42416,31104,22842,8262,0
matched,eng_na,72-84mo,ud_strict,7639,4209,4021,188,0
matched,eng_na,72-84mo,ud_copula,7639,5384,4024,1360,1175
matched,eng_na,72-84mo,spacy_chat,7639,5645,4242,1403,0
matched,eng_na,72-84mo,spacy_original,7639,5654,4211,1443,0
matched,eng_na,84-96mo,ud_strict,18841,8372,8057,315,0
matched,eng_na,84-96mo,ud_copula,18841,10945,8061,2884,2573
matched,eng_na,84-96mo,spacy_chat,18841,11483,8485,2998,0
matched,eng_na,84-96mo,spacy_original,18841,11525,8472,3053,0
earlier_talkbank,broader_english,overall,ud_strict,3792185,1775181,1662058,113123,0
earlier_talkbank,broader_english,overall,ud_copula,3792185,2370204,1663109,707095,595023
earlier_talkbank,broader_english,overall,spacy_chat,3792185,2560533,1796413,764120,0
earlier_talkbank,broader_english,0-12mo,ud_strict,186696,89812,85182,4630,0
earlier_talkbank,broader_english,0-12mo,ud_copula,186696,115366,85231,30135,25554
earlier_talkbank,broader_english,0-12mo,spacy_chat,186696,121706,90384,31322,0
earlier_talkbank,broader_english,12-24mo,ud_strict,561660,201409,187739,13670,0
earlier_talkbank,broader_english,12-24mo,ud_copula,561660,275672,187864,87808,74263
earlier_talkbank,broader_english,12-24mo,spacy_chat,561660,308484,210792,97692,0
earlier_talkbank,broader_english,24-36mo,ud_strict,1601873,748922,696555,52367,0
earlier_talkbank,broader_english,24-36mo,ud_copula,1601873,1009845,696980,312865,260923
earlier_talkbank,broader_english,24-36mo,spacy_chat,1601873,1084707,745828,338879,0
earlier_talkbank,broader_english,36-48mo,ud_strict,715524,363466,340543,22923,0
earlier_talkbank,broader_english,36-48mo,ud_copula,715524,483780,340741,143039,120314
earlier_talkbank,broader_english,36-48mo,spacy_chat,715524,518531,365887,152644,0
earlier_talkbank,broader_english,48-60mo,ud_strict,346240,188054,177387,10667,0
earlier_talkbank,broader_english,48-60mo,ud_copula,346240,246382,177532,68850,58328
earlier_talkbank,broader_english,48-60mo,spacy_chat,346240,261911,188549,73362,0
earlier_talkbank,broader_english,60-72mo,ud_strict,195959,93772,89039,4733,0
earlier_talkbank,broader_english,60-72mo,ud_copula,195959,122506,89089,33417,28734
earlier_talkbank,broader_english,60-72mo,spacy_chat,195959,141423,104003,37420,0
earlier_talkbank,broader_english,72-84mo,ud_strict,95973,48626,46316,2310,0
earlier_talkbank,broader_english,72-84mo,ud_copula,95973,63091,46350,16741,14465
earlier_talkbank,broader_english,72-84mo,spacy_chat,95973,67444,49605,17839,0
earlier_talkbank,broader_english,84-96mo,ud_strict,88206,41109,39286,1823,0
earlier_talkbank,broader_english,84-96mo,ud_copula,88206,53550,39311,14239,12441
earlier_talkbank,broader_english,84-96mo,spacy_chat,88206,56314,41354,14960,0
earlier_talkbank,eng_na,overall,ud_strict,1607773,766392,727465,38927,0
earlier_talkbank,eng_na,overall,ud_copula,1607773,1009644,727902,281742,243252
earlier_talkbank,eng_na,overall,spacy_chat,1607773,1081580,781426,300154,0
earlier_talkbank,eng_na,0-12mo,ud_strict,135499,67751,64581,3170,0
earlier_talkbank,eng_na,0-12mo,ud_copula,135499,85432,64624,20808,17681
earlier_talkbank,eng_na,0-12mo,spacy_chat,135499,89690,68114,21576,0
earlier_talkbank,eng_na,12-24mo,ud_strict,326069,118443,111031,7412,0
earlier_talkbank,eng_na,12-24mo,ud_copula,326069,160642,111102,49540,42199
earlier_talkbank,eng_na,12-24mo,spacy_chat,326069,179678,124343,55335,0
earlier_talkbank,eng_na,24-36mo,ud_strict,507763,251406,238262,13144,0
earlier_talkbank,eng_na,24-36mo,ud_copula,507763,334538,238394,96144,83132
earlier_talkbank,eng_na,24-36mo,spacy_chat,507763,359064,256426,102638,0
earlier_talkbank,eng_na,36-48mo,ud_strict,254344,131440,125147,6293,0
earlier_talkbank,eng_na,36-48mo,ud_copula,254344,173148,125222,47926,41708
earlier_talkbank,eng_na,36-48mo,spacy_chat,254344,184614,133711,50903,0
earlier_talkbank,eng_na,48-60mo,ud_strict,143539,79334,75834,3500,0
earlier_talkbank,eng_na,48-60mo,ud_copula,143539,102751,75877,26874,23417
earlier_talkbank,eng_na,48-60mo,spacy_chat,143539,107932,80215,27717,0
earlier_talkbank,eng_na,60-72mo,ud_strict,117590,59548,56743,2805,0
earlier_talkbank,eng_na,60-72mo,ud_copula,117590,77346,56774,20572,17798
earlier_talkbank,eng_na,60-72mo,spacy_chat,117590,81305,59947,21358,0
earlier_talkbank,eng_na,72-84mo,ud_strict,58898,29573,28181,1392,0
earlier_talkbank,eng_na,72-84mo,ud_copula,58898,38429,28202,10227,8856
earlier_talkbank,eng_na,72-84mo,spacy_chat,58898,40231,29516,10715,0
earlier_talkbank,eng_na,84-96mo,ud_strict,64071,28897,27686,1211,0
earlier_talkbank,eng_na,84-96mo,ud_copula,64071,37358,27707,9651,8461
earlier_talkbank,eng_na,84-96mo,spacy_chat,64071,39066,29154,9912,0
