original_transcript_id,n_current_transcripts,current_transcripts
10768,2,NewmanRatner/07/5837AK.cha;NewmanRatner/Interviews/07/5837AK.cha
10769,2,NewmanRatner/07/5837JK.cha;NewmanRatner/Interviews/07/5837JK.cha
10770,2,NewmanRatner/07/5859ME.cha;NewmanRatner/Interviews/07/5859ME.cha
10771,2,NewmanRatner/07/5878SC.cha;NewmanRatner/Interviews/07/5878SC.cha
10772,2,NewmanRatner/07/5903AE.cha;NewmanRatner/Interviews/07/5903AE.cha
10773,2,NewmanRatner/07/5928RL.cha;NewmanRatner/Interviews/07/5928RL.cha
10774,2,NewmanRatner/07/5929LD.cha;NewmanRatner/Interviews/07/5929LD.cha
10775,2,NewmanRatner/07/5923MW.cha;NewmanRatner/Interviews/07/5923MW.cha
10776,2,NewmanRatner/07/5936SR.cha;NewmanRatner/Interviews/07/5936SR.cha
10778,2,NewmanRatner/07/5949DL.cha;NewmanRatner/Interviews/07/5949DL.cha
10779,2,NewmanRatner/07/5965PC.cha;NewmanRatner/Interviews/07/5965PC.cha
10780,2,NewmanRatner/07/5977QJ.cha;NewmanRatner/Interviews/07/5977QJ.cha
10781,2,NewmanRatner/07/6047JC.cha;NewmanRatner/Interviews/07/6047JC.cha
10782,2,NewmanRatner/07/6043AM.cha;NewmanRatner/Interviews/07/6043AM.cha
10786,2,NewmanRatner/07/6206MP.cha;NewmanRatner/Interviews/07/6206MP.cha
10788,2,NewmanRatner/07/6454MB.cha;NewmanRatner/Interviews/07/6454MB.cha
10789,2,NewmanRatner/07/6453HS.cha;NewmanRatner/Interviews/07/6453HS.cha
10790,2,NewmanRatner/07/6510LC.cha;NewmanRatner/Interviews/07/6510LC.cha
10794,2,NewmanRatner/07/6757JC.cha;NewmanRatner/Interviews/07/6757JC.cha
10796,2,NewmanRatner/07/6815KG.cha;NewmanRatner/Interviews/07/6815KG.cha
10797,2,NewmanRatner/07/6818AP.cha;NewmanRatner/Interviews/07/6818AP.cha
10799,2,NewmanRatner/07/6878SK.cha;NewmanRatner/Interviews/07/6878SK.cha
10800,2,NewmanRatner/07/6826LD.cha;NewmanRatner/Interviews/07/6826LD.cha
10801,2,NewmanRatner/07/7013VD.cha;NewmanRatner/Interviews/07/7013VD.cha
10807,2,NewmanRatner/07/7075MB.cha;NewmanRatner/Interviews/07/7075MB.cha
10814,2,NewmanRatner/07/7252PD.cha;NewmanRatner/Interviews/07/7252PD.cha
10823,2,NewmanRatner/10/4273WC.cha;NewmanRatner/Interviews/10/4273WC.cha
10825,2,NewmanRatner/10/4452CM.cha;NewmanRatner/Interviews/10/4452CM.cha
10827,2,NewmanRatner/10/4664AM.cha;NewmanRatner/Interviews/10/4664AM.cha
10828,2,NewmanRatner/10/4619WZ.cha;NewmanRatner/Interviews/10/4619WZ.cha
10830,2,NewmanRatner/10/4629AB.cha;NewmanRatner/Interviews/10/4629AB.cha
10831,2,NewmanRatner/10/4650KS.cha;NewmanRatner/Interviews/10/4650KS.cha
10834,2,NewmanRatner/10/4641CC.cha;NewmanRatner/Interviews/10/4641CC.cha
10835,2,NewmanRatner/10/4743NA.cha;NewmanRatner/Interviews/10/4743NA.cha
10836,2,NewmanRatner/10/4708IB.cha;NewmanRatner/Interviews/10/4708IB.cha
10837,2,NewmanRatner/10/4731SA.cha;NewmanRatner/Interviews/10/4731SA.cha
10838,2,NewmanRatner/10/4767JC.cha;NewmanRatner/Interviews/10/4767JC.cha
10839,2,NewmanRatner/10/4734ES.cha;NewmanRatner/Interviews/10/4734ES.cha
10840,2,NewmanRatner/10/4801RB.cha;NewmanRatner/Interviews/10/4801RB.cha
10841,2,NewmanRatner/10/4802JP.cha;NewmanRatner/Interviews/10/4802JP.cha
