original_corpus,n_utterances_total,n_utterances_age_usable,n_utterances_age_le_96,n_utterances_age_gt_96,n_utterances_age_missing_or_invalid,exact_archive_ids,leaf_archive_ids,mapping_status,candidate_archive_count,candidate_archive_ids,represented_in_current_manifest,mapping_ambiguous
Sawyer,23469,0,0,0,23469,Eng-NA/Sawyer.zip,Eng-NA/Sawyer.zip,exact_source_corpus_match,1,Eng-NA/Sawyer.zip,True,False
SerraSole,3212,3212,3212,0,0,,,not_represented,0,,False,False
Singapore,1977,0,0,0,1977,,,not_represented,0,,False,False
Snow,21235,21235,21235,0,0,Eng-NA/Snow.zip,Eng-NA/Snow.zip,exact_source_corpus_match,1,Eng-NA/Snow.zip,True,False
Soderstrom,26993,26993,26993,0,0,Eng-NA/Soderstrom.zip,Eng-NA/Soderstrom.zip,exact_source_corpus_match,1,Eng-NA/Soderstrom.zip,True,False
Soto,1440,1440,1440,0,0,,,not_represented,0,,False,False
Sprott,1616,0,0,0,1616,Eng-NA/Sprott.zip,Eng-NA/Sprott.zip,exact_source_corpus_match,1,Eng-NA/Sprott.zip,True,False
Stephany,6766,6766,6766,0,0,,,not_represented,0,,False,False
Suppes,35793,35793,35793,0,0,Eng-NA/Suppes.zip,Eng-NA/Suppes.zip,exact_source_corpus_match,1,Eng-NA/Suppes.zip,True,False
TD,103329,103329,103329,0,0,,Clinical-Eng/Ambrose/TD.zip;Clinical-Eng/Nicholas/TD.zip;Clinical-Eng/Rondal/TD.zip,ambiguous_leaf_match,3,Clinical-Eng/Ambrose/TD.zip;Clinical-Eng/Nicholas/TD.zip;Clinical-Eng/Rondal/TD.zip,True,True
Tardif,14302,14302,14302,0,0,Eng-NA/Tardif.zip,Eng-NA/Tardif.zip,exact_source_corpus_match,1,Eng-NA/Tardif.zip,True,False
Thomas,376734,376734,376734,0,0,Eng-UK/Thomas.zip,Eng-UK/Thomas.zip,exact_source_corpus_match,1,Eng-UK/Thomas.zip,True,False
Tommerdahl,13998,13595,13595,0,403,Eng-UK/Tommerdahl.zip,Eng-UK/Tommerdahl.zip,exact_source_corpus_match,1,Eng-UK/Tommerdahl.zip,True,False
TorringtonEaton,5609,5609,5609,0,0,,,not_represented,0,,False,False
Twins,1502,1502,1502,0,0,,Clinical-Eng/Feldman/Twins.zip,unique_leaf_match,1,Clinical-Eng/Feldman/Twins.zip,True,False
UCSD,7464,7464,7215,249,0,Clinical-Eng/UCSD.zip,Clinical-Eng/UCSD.zip,exact_source_corpus_match,1,Clinical-Eng/UCSD.zip,True,False
Valian,27831,27831,27831,0,0,Eng-NA/Valian.zip,Eng-NA/Valian.zip,exact_source_corpus_match,1,Eng-NA/Valian.zip,True,False
VanHouten,8793,8793,8793,0,0,Eng-NA/VanHouten.zip,Eng-NA/VanHouten.zip,exact_source_corpus_match,1,Eng-NA/VanHouten.zip,True,False
VanKleeck,8756,8756,8756,0,0,Eng-NA/VanKleeck.zip,Eng-NA/VanKleeck.zip,exact_source_corpus_match,1,Eng-NA/VanKleeck.zip,True,False
Warren,5853,5853,5853,0,0,Eng-NA/Warren.zip,Eng-NA/Warren.zip,exact_source_corpus_match,1,Eng-NA/Warren.zip,True,False
Weist,65608,65418,65418,0,190,Eng-NA/Weist.zip,Eng-NA/Weist.zip,exact_source_corpus_match,1,Eng-NA/Weist.zip,True,False
Wells,46321,46321,46321,0,0,Eng-UK/Wells.zip,Eng-UK/Wells.zip,exact_source_corpus_match,1,Eng-UK/Wells.zip,True,False
YipMatthews,219195,219195,219195,0,0,,,not_represented,0,,False,False
