collection,corpus,transcript,original_transcript_id,status,unique_matching_utterances,runner_up_matches,total_matching_utterances,original_target_child,original_age_months,original_n_utterances,chat_target_child,chat_age_months,original_id_used_by_multiple_current_transcripts,original_age_raw,original_metadata_join,current_age_raw,current_age_status,parse_status,current_metadata_join,current_age_months,original_age_usable,current_age_usable,age_combination,absolute_age_difference_months,age_conflict_gt_0_1_month
Clinical-Eng,Feldman/ParentChild,Feldman/ParentChild/TD/nchi1539.cha,34171,high_confidence_text_match,17,3,20,Sally,18.0003696174459,546,CHI,39.0,True,18.0003696174459,both,39.0,valid,parsed,both,39.0,True,True,both_usable,20.9996303825541,True
Eng-NA,Gelman,Gelman/2016-Robodog/12.cha,6918,high_confidence_text_match,35,0,35,NA,60.0012320581531,243,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/13.cha,6919,high_confidence_text_match,161,0,161,NA,60.0012320581531,594,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/14.cha,6920,high_confidence_text_match,48,0,48,NA,60.0012320581531,343,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/17.cha,6923,high_confidence_text_match,105,0,105,NA,60.0012320581531,377,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/18.cha,6924,high_confidence_text_match,120,0,120,NA,60.0012320581531,455,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/21.cha,6927,high_confidence_text_match,137,0,137,NA,60.0012320581531,516,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/23.cha,6928,high_confidence_text_match,164,0,164,NA,60.0012320581531,440,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/48.cha,6945,high_confidence_text_match,75,1,76,NA,60.0012320581531,483,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/49.cha,6946,high_confidence_text_match,82,0,82,NA,60.0012320581531,351,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/50.cha,6947,high_confidence_text_match,103,0,103,NA,60.0012320581531,539,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/51.cha,6950,high_confidence_text_match,115,0,115,NA,60.0012320581531,450,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/52.cha,6948,high_confidence_text_match,70,0,70,NA,60.0012320581531,439,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/53.cha,6949,high_confidence_text_match,77,0,77,NA,60.0012320581531,419,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/54.cha,6951,high_confidence_text_match,119,1,120,NA,60.0012320581531,611,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/55.cha,6952,high_confidence_text_match,184,0,184,NA,60.0012320581531,609,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,Gelman,Gelman/2016-Robodog/56.cha,6953,high_confidence_text_match,125,0,125,NA,60.0012320581531,501,CHI,66.0,False,60.0012320581531,both,66.0,valid,parsed,both,66.0,True,True,both_usable,5.9987679418469,True
Eng-NA,MacWhinney,MacWhinney/070318.cha,7804,high_confidence_text_match,113,0,113,Mark,64.7569765292922,480,CHI,87.6,False,64.7569765292922,both,87.6,valid,parsed,both,87.6,True,True,both_usable,22.84302347070779,True
