collection,corpus,transcript,original_transcript_id,status,unique_matching_utterances,runner_up_matches,total_matching_utterances,original_target_child,original_age_months,original_n_utterances,chat_target_child,chat_age_months,original_id_used_by_multiple_current_transcripts,original_age_raw,original_metadata_join,current_age_raw,current_age_status,parse_status,current_metadata_join,current_age_months,original_age_usable,current_age_usable,age_combination,absolute_age_difference_months,age_conflict_gt_0_1_month
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/4929MM.cha,11144,high_confidence_text_match,63,0,63,4929MM24,24.0004928232613,223,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5013LA.cha,11147,high_confidence_text_match,64,0,64,5013LA24,24.0004928232613,214,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5193HB.cha,11154,high_confidence_text_match,18,0,18,5193HB24,24.0004928232613,91,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5196AVI.cha,11192,high_confidence_text_match,5,1,6,5928RL24,24.0004928232613,167,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5443AO.cha,11163,high_confidence_text_match,36,0,36,5443AO24,24.0004928232613,119,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5540LD.cha,11167,high_confidence_text_match,5,0,5,5540LD24,24.0004928232613,94,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5550VS.cha,11169,high_confidence_text_match,111,0,111,5550VS24,24.0004928232613,427,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5585ME.cha,10632,high_confidence_text_match,6,0,6,5585ME24,24.0004928232613,498,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5593SH.cha,11176,high_confidence_text_match,37,0,37,5593SH24,24.0004928232613,146,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5630WS.cha,11182,high_confidence_text_match,51,1,52,5630WS24,24.0004928232613,165,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5928RL.cha,11192,high_confidence_text_match,83,0,83,5928RL24,24.0004928232613,167,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5928RLAdult.cha,11094,high_confidence_text_match,34,0,34,5928RL18,18.0003696174459,432,,,True,18.0003696174459,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
