rank,verb,frequency
1,go,3713
2,get,1885
3,want,1859
4,do,1486
5,have,1108
6,know,912
7,see,884
8,think,710
9,like,668
10,say,609
11,put,487
12,come,366
13,play,300
14,look,290
15,need,255
16,make,234
17,try,228
18,take,224
19,hear,197
20,eat,189
21,find,149
22,give,149
23,love,144
24,fall,138
25,sit,121
26,throw,117
27,tell,112
28,can,97
29,feel,97
30,help,97
31,talk,88
32,let,87
33,hold,79
34,read,78
35,turn,75
36,stand,73
37,hurt,72
38,drop,71
39,mean,71
40,walk,68
41,work,68
42,watch,67
43,wash,63
44,pull,61
45,keep,58
46,sing,57
47,wave,56
48,guess,55
49,chew,54
50,roll,52
51,leave,51
52,stay,50
53,wear,50
54,run,49
55,crawl,49
56,bring,48
57,open,48
58,use,43
59,knock,43
60,reach,42
61,taste,42
62,start,41
63,forget,40
64,smell,40
65,clean,39
66,push,39
67,hide,38
68,move,37
69,call,37
70,close,37
71,clap,35
72,bite,35
73,stop,35
74,shake,35
75,sound,33
76,pick,32
77,hope,32
78,show,32
79,remember,32
80,learn,30
81,miss,29
82,bang,28
83,needta,28
84,hit,27
85,drink,27
86,build,27
87,touch,27
88,ask,26
89,bet,26
90,will,26
91,feed,26
92,fly,26
93,blow,25
94,fix,25
95,wait,25
96,tickle,25
97,cry,24
98,jump,24
99,fit,24
100,laugh,24
