rank,verb,frequency
1,go,8714
2,have,7197
3,think,5884
4,get,5249
5,do,5173
6,be,4630
7,like,4467
8,know,4457
9,want,4197
10,play,2356
11,see,2256
12,say,2139
13,look,1317
14,put,1315
15,try,1223
16,make,1122
17,come,1020
18,eat,970
19,mean,882
20,recognize,806
21,seem,804
22,take,651
23,love,644
24,need,643
25,give,610
26,read,578
27,guess,454
28,find,434
29,sit,426
30,hear,418
31,pick,417
32,feel,387
33,start,357
34,remember,332
35,tell,312
36,keep,302
37,fall,299
38,talk,284
39,hold,275
40,can,274
41,show,263
42,notice,260
43,use,244
44,ask,242
45,let,235
46,pull,228
47,turn,225
48,throw,220
49,prefer,219
50,chew,207
51,work,200
52,stand,192
53,help,182
54,move,170
55,sing,163
56,watch,154
57,drop,149
58,shake,144
59,walk,143
60,touch,141
61,crawl,139
62,will,138
63,call,131
64,bring,130
65,push,130
66,change,128
67,roll,125
68,leave,125
69,bang,125
70,wave,124
71,enjoy,122
72,send,122
73,grab,121
74,open,121
75,feed,119
76,happen,116
77,stay,115
78,wonder,115
79,sound,114
80,care,112
81,drink,111
82,stop,108
83,hide,106
84,dunno,103
85,hurt,100
86,knock,98
87,taste,95
88,run,94
89,finish,93
90,build,92
91,would,92
92,clean,91
93,clap,89
94,wash,89
95,tend,86
96,catch,83
97,hit,82
98,forget,80
99,wear,80
100,learn,75
